Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation,Cost_Per_Package
Edible Seaweed Film,12.8,6.9,100.0,0.48,4.8,3,Consider as Option,109.6
Bamboo Fiber,53.7,7.1,95.4,0.51,39.1,6,Highly Recommended,208.4
Bamboo Fiber,57.7,4.7,97.9,0.59,35.6,8,Highly Recommended,202.4
Aluminum Foil,32.4,3.0,0.0,9.39,90.3,10,Avoid,144.8
Aluminum Foil,33.9,10.0,0.0,10.84,96.8,10,Avoid,217.8
Recycled Cardboard,15.8,2.3,97.0,0.99,96.2,4,Highly Recommended,74.6
Virgin Plastic (PP),76.2,9.3,0.8,4.72,22.8,10,Avoid,295.4
Recycled Cardboard,33.1,4.3,99.5,1.06,95.0,4,Highly Recommended,129.2
Bamboo Fiber,42.8,8.2,95.5,0.81,49.9,7,Highly Recommended,202.6
Mushroom Mycelium,16.9,4.3,100.0,0.19,100.0,5,Highly Recommended,101.8
Virgin Plastic (PP),75.7,5.8,2.0,5.59,11.2,10,Avoid,259.4
Bamboo Fiber,49.2,5.6,99.6,0.84,37.5,8,Highly Recommended,194.4
Bagasse (Sugarcane),32.0,5.5,97.2,0.96,64.3,6,Highly Recommended,149.0
Bagasse (Sugarcane),31.6,1.5,99.0,1.17,59.6,5,Highly Recommended,103.2
Bagasse (Sugarcane),35.8,4.1,95.3,1.16,58.4,7,Highly Recommended,147.6
Edible Seaweed Film,7.2,5.0,100.0,0.6,9.3,4,Consider as Option,84.4
Mushroom Mycelium,14.8,4.9,100.0,0.17,100.0,6,Highly Recommended,108.6
Mushroom Mycelium,19.0,8.0,100.0,0.13,100.0,5,Highly Recommended,143.0
Edible Seaweed Film,8.3,8.9,100.0,0.3,7.9,3,Consider as Option,120.6
Virgin Plastic (PP),80.3,1.5,2.1,4.27,21.1,10,Avoid,225.6
Recycled Cardboard,33.6,7.8,94.1,1.28,91.7,5,Highly Recommended,170.2
Mushroom Mycelium,14.8,6.9,100.0,0.22,100.0,4,Highly Recommended,118.6
Bagasse (Sugarcane),32.7,9.3,98.9,1.34,69.0,6,Highly Recommended,188.4
Bamboo Fiber,52.9,5.6,98.8,1.06,37.5,6,Highly Recommended,191.8
Bagasse (Sugarcane),21.3,8.7,95.2,1.16,65.7,5,Highly Recommended,154.6
Recycled Cardboard,35.0,9.2,94.6,1.04,87.9,3,Highly Recommended,177.0
Virgin Plastic (PP),73.0,3.2,4.4,3.74,14.5,10,Avoid,228.0
Virgin Plastic (PP),68.4,1.7,1.0,5.14,13.0,10,Avoid,203.8
Edible Seaweed Film,5.4,7.3,100.0,0.37,6.5,3,Consider as Option,98.8
Bamboo Fiber,56.0,0.9,98.2,1.09,43.0,8,Highly Recommended,161.0
Bamboo Fiber,51.9,8.8,98.8,0.75,32.7,8,Highly Recommended,231.8
Virgin Plastic (PP),75.8,5.6,2.8,4.39,21.8,10,Avoid,257.6
Bioplastic (PLA),61.5,7.1,82.0,2.31,51.5,9,Consider as Option,239.0
Bioplastic (PLA),73.9,4.0,94.2,2.0,42.9,8,Highly Recommended,227.8
Bamboo Fiber,54.9,5.8,95.5,1.05,33.0,8,Highly Recommended,207.8
Bioplastic (PLA),54.1,6.9,80.9,2.35,48.1,9,Consider as Option,222.2
Aluminum Foil,28.9,7.6,0.0,10.22,96.4,10,Avoid,183.8
Bioplastic (PLA),65.1,5.4,94.5,1.87,57.6,9,Highly Recommended,229.2
Recycled Cardboard,32.7,2.0,94.4,1.29,99.9,3,Highly Recommended,100.4
Edible Seaweed Film,11.7,7.7,100.0,0.51,0.9,2,Consider as Option,110.4
Edible Seaweed Film,6.6,3.9,100.0,0.3,0.4,4,Consider as Option,72.2
Mushroom Mycelium,21.6,4.9,100.0,0.31,100.0,6,Highly Recommended,122.2
Mushroom Mycelium,16.6,9.6,100.0,0.24,100.0,5,Highly Recommended,154.2
Mushroom Mycelium,12.8,5.9,100.0,0.27,100.0,5,Highly Recommended,109.6
Bioplastic (PLA),71.4,1.6,94.6,1.99,45.9,9,Highly Recommended,203.8
Recycled Cardboard,34.4,5.0,95.8,1.21,93.5,5,Highly Recommended,143.8
Recycled Cardboard,25.7,5.8,94.3,1.28,80.9,4,Highly Recommended,129.4
Bioplastic (PLA),72.7,5.9,82.8,1.76,41.5,9,Highly Recommended,249.4
Mushroom Mycelium,13.4,4.0,100.0,0.4,100.0,4,Highly Recommended,86.8
Bamboo Fiber,50.5,0.7,99.1,0.54,35.0,7,Highly Recommended,143.0
Bagasse (Sugarcane),32.6,2.2,96.1,1.05,54.8,6,Highly Recommended,117.2
Bamboo Fiber,50.5,2.6,97.5,0.7,42.9,7,Highly Recommended,162.0
Bamboo Fiber,54.1,2.8,99.9,0.75,33.6,8,Highly Recommended,176.2
Virgin Plastic (PP),74.0,5.5,2.3,5.35,26.9,10,Avoid,253.0
Virgin Plastic (PP),88.7,3.3,4.8,5.7,21.2,10,Avoid,260.4
Aluminum Foil,25.6,2.1,0.0,10.43,95.2,10,Avoid,122.2
Virgin Plastic (PP),62.3,2.2,4.3,4.23,16.5,10,Avoid,196.6
Bagasse (Sugarcane),33.5,2.4,99.1,1.33,50.1,6,Highly Recommended,121.0
Bamboo Fiber,51.7,7.0,99.5,0.73,30.6,8,Highly Recommended,213.4
Bagasse (Sugarcane),23.3,6.1,99.7,1.03,60.4,7,Highly Recommended,142.6
Virgin Plastic (PP),61.1,5.7,2.8,5.54,29.3,10,Avoid,229.2
Mushroom Mycelium,11.1,4.2,100.0,0.19,100.0,4,Highly Recommended,84.2
Bagasse (Sugarcane),36.9,9.3,97.6,1.09,66.3,6,Highly Recommended,196.8
Bioplastic (PLA),68.9,0.9,85.8,2.0,44.0,9,Highly Recommended,191.8
Bioplastic (PLA),50.8,9.1,94.8,1.67,47.2,8,Highly Recommended,232.6
Bioplastic (PLA),61.9,7.2,85.9,1.8,56.4,9,Highly Recommended,240.8
Mushroom Mycelium,13.3,8.9,100.0,0.32,100.0,5,Highly Recommended,140.6
Recycled Cardboard,29.4,4.0,96.6,1.5,86.7,5,Highly Recommended,123.8
Recycled Cardboard,15.2,1.8,99.4,0.87,85.7,5,Highly Recommended,73.4
Aluminum Foil,28.1,1.9,0.0,8.82,99.5,10,Avoid,125.2
Edible Seaweed Film,11.0,6.9,100.0,0.41,9.6,3,Consider as Option,106.0
Virgin Plastic (PP),71.8,5.2,3.9,4.4,15.0,10,Avoid,245.6
Edible Seaweed Film,14.2,3.7,100.0,0.37,7.7,4,Consider as Option,85.4
Recycled Cardboard,23.6,1.6,96.6,1.13,89.5,4,Highly Recommended,83.2
Bamboo Fiber,51.9,6.5,96.0,0.89,32.4,6,Highly Recommended,198.8
Bamboo Fiber,40.3,5.3,95.6,0.88,33.4,8,Highly Recommended,173.6
Recycled Cardboard,30.8,9.4,90.9,1.36,85.0,3,Highly Recommended,170.6
Edible Seaweed Film,13.8,2.6,100.0,0.39,4.2,2,Consider as Option,63.6
Recycled Cardboard,17.6,6.6,90.1,1.45,84.0,5,Highly Recommended,126.2
Mushroom Mycelium,18.8,9.2,100.0,0.11,100.0,4,Highly Recommended,149.6
Aluminum Foil,42.6,1.5,0.0,10.25,94.4,10,Avoid,150.2
Bagasse (Sugarcane),39.0,0.6,96.0,0.94,60.8,7,Highly Recommended,119.0
Bagasse (Sugarcane),31.9,3.0,97.4,1.39,68.2,7,Highly Recommended,128.8
Recycled Cardboard,19.9,1.5,92.6,0.93,84.3,3,Highly Recommended,69.8
Mushroom Mycelium,17.7,2.8,100.0,0.29,100.0,5,Highly Recommended,88.4
Edible Seaweed Film,8.0,6.4,100.0,0.47,8.2,3,Consider as Option,95.0
Mushroom Mycelium,21.6,7.2,100.0,0.12,100.0,5,Highly Recommended,140.2
Recycled Cardboard,29.3,7.7,100.0,1.08,88.6,5,Highly Recommended,160.6
Bagasse (Sugarcane),26.8,7.3,98.7,1.02,57.1,7,Highly Recommended,161.6
Edible Seaweed Film,14.2,2.4,100.0,0.26,0.2,4,Consider as Option,72.4
Virgin Plastic (PP),67.6,1.7,3.1,5.45,24.1,10,Avoid,202.2
Bamboo Fiber,59.1,9.7,95.9,0.65,31.9,8,Highly Recommended,255.2
Bamboo Fiber,56.1,2.3,98.0,0.56,33.8,6,Highly Recommended,165.2
Bagasse (Sugarcane),27.2,8.6,95.7,1.32,52.7,7,Highly Recommended,175.4
Aluminum Foil,20.8,5.2,0.0,11.17,96.3,10,Avoid,143.6
Bamboo Fiber,57.4,2.8,99.0,0.55,48.1,7,Highly Recommended,177.8
Bamboo Fiber,53.7,1.3,98.1,0.92,35.6,7,Highly Recommended,155.4
Edible Seaweed Film,8.1,5.2,100.0,0.45,3.2,4,Consider as Option,88.2
Bamboo Fiber,53.7,6.2,95.6,1.18,38.1,6,Highly Recommended,199.4
Bamboo Fiber,40.6,8.6,98.4,0.51,34.1,6,Highly Recommended,197.2
Edible Seaweed Film,14.1,7.0,100.0,0.43,8.3,2,Consider as Option,108.2
Aluminum Foil,38.8,9.3,0.0,10.89,98.9,10,Avoid,220.6
Mushroom Mycelium,14.8,6.4,100.0,0.16,100.0,6,Highly Recommended,123.6
Bioplastic (PLA),70.1,2.3,85.4,1.68,49.4,9,Highly Recommended,208.2
Edible Seaweed Film,11.5,5.2,100.0,0.25,0.4,2,Consider as Option,85.0
Recycled Cardboard,35.0,1.0,96.9,1.02,89.1,4,Highly Recommended,100.0
Virgin Plastic (PP),62.3,5.0,0.2,4.52,20.9,10,Avoid,224.6
Edible Seaweed Film,6.0,7.5,100.0,0.5,6.8,4,Consider as Option,107.0
Mushroom Mycelium,11.0,3.6,100.0,0.21,100.0,6,Highly Recommended,88.0
Bioplastic (PLA),50.4,5.4,86.4,1.82,50.6,9,Highly Recommended,199.8
Bioplastic (PLA),74.0,4.6,84.5,1.58,49.9,9,Highly Recommended,239.0
Bioplastic (PLA),58.9,1.0,80.5,2.45,54.8,8,Consider as Option,167.8
Recycled Cardboard,28.3,8.5,95.6,1.37,87.0,3,Highly Recommended,156.6
Aluminum Foil,27.2,7.3,0.0,8.21,95.9,10,Avoid,177.4
Bagasse (Sugarcane),32.3,8.5,99.0,1.33,51.5,7,Highly Recommended,184.6
Mushroom Mycelium,16.9,9.6,100.0,0.24,100.0,6,Highly Recommended,159.8
Mushroom Mycelium,17.2,8.6,100.0,0.4,100.0,5,Highly Recommended,145.4
Bamboo Fiber,58.6,3.8,95.2,0.68,43.7,7,Highly Recommended,190.2
Recycled Cardboard,17.0,9.2,96.9,0.87,87.3,5,Highly Recommended,151.0
Bagasse (Sugarcane),29.3,8.8,97.3,1.17,56.8,5,Highly Recommended,171.6
Bamboo Fiber,53.5,8.5,98.7,0.91,40.1,7,Highly Recommended,227.0
Recycled Cardboard,23.9,8.1,93.5,0.93,87.0,3,Highly Recommended,143.8
Bamboo Fiber,42.5,3.7,98.4,0.7,44.9,6,Highly Recommended,152.0
Bagasse (Sugarcane),32.4,0.7,97.1,0.92,55.4,7,Highly Recommended,106.8
Aluminum Foil,40.3,3.0,0.0,9.09,90.8,10,Avoid,160.6
Bioplastic (PLA),54.8,1.7,91.8,2.33,47.1,9,Highly Recommended,171.6
Bagasse (Sugarcane),37.1,8.6,96.3,1.11,54.2,5,Highly Recommended,185.2
Aluminum Foil,33.3,9.0,0.0,8.88,99.5,10,Avoid,206.6
Edible Seaweed Film,12.5,5.5,100.0,0.59,4.9,3,Consider as Option,95.0
Aluminum Foil,39.9,7.6,0.0,8.49,94.9,10,Avoid,205.8
Recycled Cardboard,15.6,6.7,98.4,0.99,84.6,4,Highly Recommended,118.2
Bioplastic (PLA),66.2,1.7,81.4,2.48,52.0,9,Consider as Option,194.4
Recycled Cardboard,21.6,6.6,96.3,1.43,99.5,3,Highly Recommended,124.2
Aluminum Foil,27.6,8.1,0.0,9.49,97.7,10,Avoid,186.2
Bamboo Fiber,49.8,2.3,96.1,0.55,32.3,8,Highly Recommended,162.6
Bioplastic (PLA),64.8,7.9,83.4,1.95,53.0,9,Highly Recommended,253.6
Aluminum Foil,21.3,6.1,0.0,9.67,92.4,10,Avoid,153.6
Recycled Cardboard,28.8,7.1,96.4,0.97,85.2,5,Highly Recommended,153.6
Bioplastic (PLA),64.7,9.4,91.6,2.43,49.4,9,Highly Recommended,268.4
Recycled Cardboard,34.4,0.9,95.0,0.91,92.3,4,Highly Recommended,97.8
Bagasse (Sugarcane),32.8,7.4,98.7,1.27,52.7,5,Highly Recommended,164.6
Bioplastic (PLA),62.6,8.8,80.4,1.62,41.5,9,Highly Recommended,258.2
Edible Seaweed Film,11.0,4.7,100.0,0.22,8.9,4,Consider as Option,89.0
Virgin Plastic (PP),67.0,1.5,3.5,3.7,10.7,10,Avoid,199.0
Aluminum Foil,31.1,7.6,0.0,10.65,97.9,10,Avoid,188.2
Bamboo Fiber,57.8,2.0,95.2,0.71,30.5,8,Highly Recommended,175.6
Edible Seaweed Film,10.3,8.7,100.0,0.3,0.7,2,Consider as Option,117.6
Edible Seaweed Film,14.2,6.1,100.0,0.31,3.5,2,Consider as Option,99.4
Bamboo Fiber,58.8,4.5,98.6,0.52,30.8,8,Highly Recommended,202.6
Edible Seaweed Film,7.7,4.1,100.0,0.22,8.8,2,Consider as Option,66.4
Recycled Cardboard,18.6,6.5,98.9,1.08,96.4,5,Highly Recommended,127.2
Recycled Cardboard,32.9,1.3,96.0,1.39,96.7,4,Highly Recommended,98.8
Bagasse (Sugarcane),29.0,1.7,99.5,0.93,62.6,5,Highly Recommended,100.0
Edible Seaweed Film,13.4,9.3,100.0,0.48,3.0,2,Consider as Option,129.8
Bagasse (Sugarcane),34.7,4.0,97.9,1.19,60.1,6,Highly Recommended,139.4
Aluminum Foil,40.2,2.5,0.0,11.15,91.4,10,Avoid,155.4
Recycled Cardboard,31.1,7.6,99.9,1.25,99.7,5,Highly Recommended,163.2
Aluminum Foil,27.2,3.0,0.0,9.15,90.9,10,Avoid,134.4
Bagasse (Sugarcane),38.3,7.7,99.5,1.09,60.3,5,Highly Recommended,178.6
Edible Seaweed Film,6.9,5.0,100.0,0.49,2.9,2,Consider as Option,73.8
Recycled Cardboard,33.1,1.4,99.7,1.31,92.8,4,Highly Recommended,100.2
Aluminum Foil,21.2,4.5,0.0,10.24,94.8,10,Avoid,137.4
Aluminum Foil,30.5,0.7,0.0,11.39,99.5,10,Avoid,118.0
Aluminum Foil,25.9,9.1,0.0,9.62,99.7,10,Avoid,192.8
Mushroom Mycelium,24.2,8.2,100.0,0.26,100.0,4,Highly Recommended,150.4
Edible Seaweed Film,12.0,4.4,100.0,0.58,1.3,2,Consider as Option,78.0
Aluminum Foil,39.7,3.8,0.0,11.34,94.7,10,Avoid,167.4
Aluminum Foil,39.4,1.2,0.0,11.08,94.4,10,Avoid,140.8
Bagasse (Sugarcane),39.5,5.6,95.6,1.22,50.4,6,Highly Recommended,165.0
Edible Seaweed Film,5.5,0.8,100.0,0.37,7.9,4,Consider as Option,39.0
Mushroom Mycelium,22.4,8.6,100.0,0.22,100.0,5,Highly Recommended,155.8
Recycled Cardboard,31.6,0.8,91.4,1.39,80.9,4,Highly Recommended,91.2
Bioplastic (PLA),65.6,7.2,91.8,1.84,55.5,9,Highly Recommended,248.2
Virgin Plastic (PP),69.4,4.2,2.6,4.21,10.3,10,Avoid,230.8
Mushroom Mycelium,18.2,3.2,100.0,0.23,100.0,6,Highly Recommended,98.4
Edible Seaweed Film,5.1,1.1,100.0,0.36,6.9,4,Consider as Option,41.2
Mushroom Mycelium,12.2,7.7,100.0,0.2,100.0,5,Highly Recommended,126.4
Recycled Cardboard,27.2,7.9,95.1,1.34,84.2,5,Highly Recommended,158.4
Recycled Cardboard,16.9,4.4,90.8,0.92,89.8,5,Highly Recommended,102.8
Aluminum Foil,23.9,3.3,0.0,9.63,95.3,10,Avoid,130.8
Recycled Cardboard,24.2,3.6,96.0,1.18,84.8,3,Highly Recommended,99.4
Recycled Cardboard,22.1,4.0,96.0,1.17,97.0,5,Highly Recommended,109.2
Recycled Cardboard,27.9,6.2,99.3,0.94,92.3,5,Highly Recommended,142.8
Bagasse (Sugarcane),32.5,2.2,96.3,1.19,59.5,7,Highly Recommended,122.0
Bamboo Fiber,42.8,8.9,97.8,1.17,37.8,8,Highly Recommended,214.6
Edible Seaweed Film,12.3,3.9,100.0,0.21,9.1,4,Consider as Option,83.6
Bamboo Fiber,52.6,5.1,95.2,0.81,46.3,6,Highly Recommended,186.2
Bioplastic (PLA),71.4,3.5,80.4,1.6,55.9,8,Highly Recommended,217.8
Mushroom Mycelium,23.0,8.8,100.0,0.17,100.0,4,Highly Recommended,154.0
Mushroom Mycelium,16.8,1.7,100.0,0.35,100.0,5,Highly Recommended,75.6
Virgin Plastic (PP),81.3,9.6,0.8,3.67,24.0,10,Avoid,308.6
Bagasse (Sugarcane),32.3,1.5,96.5,1.13,57.2,5,Highly Recommended,104.6
Virgin Plastic (PP),60.8,1.6,2.4,3.72,27.5,10,Avoid,187.6
Aluminum Foil,34.8,6.7,0.0,10.37,92.3,10,Avoid,186.6
Mushroom Mycelium,12.1,0.5,100.0,0.22,100.0,5,Highly Recommended,54.2
Virgin Plastic (PP),78.2,2.7,3.2,3.57,13.9,10,Avoid,233.4
Aluminum Foil,27.8,8.1,0.0,8.53,95.8,10,Avoid,186.6
Bioplastic (PLA),67.4,6.0,86.0,2.39,42.8,9,Consider as Option,239.8
Recycled Cardboard,33.5,6.0,98.7,1.32,84.1,5,Highly Recommended,152.0
Bagasse (Sugarcane),37.8,7.4,96.6,1.02,51.5,7,Highly Recommended,184.6
Aluminum Foil,23.3,7.7,0.0,8.92,94.3,10,Avoid,173.6
Recycled Cardboard,29.7,2.8,93.2,1.29,87.9,4,Highly Recommended,107.4
Bioplastic (PLA),58.5,2.3,91.3,1.91,44.8,9,Highly Recommended,185.0
Bamboo Fiber,59.6,7.7,98.0,0.97,32.6,6,Highly Recommended,226.2
Bagasse (Sugarcane),39.0,0.6,95.9,1.19,56.6,6,Highly Recommended,114.0
Bagasse (Sugarcane),36.6,7.8,98.8,1.39,67.1,5,Highly Recommended,176.2
Virgin Plastic (PP),69.0,10.0,4.2,5.61,28.4,10,Avoid,288.0
Edible Seaweed Film,9.1,4.2,100.0,0.35,3.8,3,Consider as Option,75.2
Edible Seaweed Film,13.4,1.4,100.0,0.54,4.5,2,Consider as Option,50.8
Bioplastic (PLA),59.2,1.5,94.2,2.13,42.2,8,Highly Recommended,173.4
Virgin Plastic (PP),66.5,6.3,2.4,5.59,29.4,10,Avoid,246.0
Bamboo Fiber,57.1,4.1,98.7,1.13,49.0,6,Highly Recommended,185.2
Bioplastic (PLA),66.1,7.6,89.1,1.57,47.7,8,Highly Recommended,248.2
Recycled Cardboard,26.9,0.5,91.1,0.93,89.3,5,Highly Recommended,83.8
Aluminum Foil,31.8,7.7,0.0,11.55,94.3,10,Avoid,190.6
Bamboo Fiber,42.1,3.0,98.8,1.01,31.2,8,Highly Recommended,154.2
Edible Seaweed Film,14.4,0.5,100.0,0.22,8.0,3,Consider as Option,48.8
Aluminum Foil,35.2,8.0,0.0,8.58,91.9,10,Avoid,200.4
Aluminum Foil,28.8,5.0,0.0,11.43,95.3,10,Avoid,157.6
Edible Seaweed Film,7.3,4.7,100.0,0.52,3.5,3,Consider as Option,76.6
Bioplastic (PLA),69.4,1.5,88.2,1.58,59.4,9,Highly Recommended,198.8
Edible Seaweed Film,6.8,6.5,100.0,0.58,0.9,2,Consider as Option,88.6
Recycled Cardboard,15.8,5.7,98.8,1.25,82.7,5,Highly Recommended,113.6
Virgin Plastic (PP),61.9,8.2,0.1,4.31,21.7,10,Avoid,255.8
Aluminum Foil,23.4,0.9,0.0,8.14,99.2,10,Avoid,105.8
Bamboo Fiber,56.6,7.7,97.3,0.99,33.9,7,Highly Recommended,225.2
Mushroom Mycelium,19.5,9.4,100.0,0.14,100.0,5,Highly Recommended,158.0
Bamboo Fiber,59.9,2.2,98.6,0.89,44.8,7,Highly Recommended,176.8
Edible Seaweed Film,10.5,5.2,100.0,0.24,10.0,2,Consider as Option,83.0
Bagasse (Sugarcane),39.2,6.8,100.0,1.17,63.6,7,Highly Recommended,181.4
Bioplastic (PLA),60.8,8.6,87.5,2.1,57.9,9,Highly Recommended,252.6
Bamboo Fiber,58.9,1.7,98.6,0.65,35.2,6,Highly Recommended,164.8
Bagasse (Sugarcane),28.2,6.5,96.5,1.01,62.0,5,Highly Recommended,146.4
Bioplastic (PLA),64.4,1.3,81.7,2.05,46.2,8,Consider as Option,181.8
Bagasse (Sugarcane),36.5,8.1,95.4,1.37,59.2,7,Highly Recommended,189.0
Edible Seaweed Film,6.2,0.7,100.0,0.58,3.9,4,Consider as Option,39.4
Edible Seaweed Film,15.0,1.2,100.0,0.42,1.4,2,Consider as Option,52.0
Bioplastic (PLA),53.4,2.7,91.6,1.76,59.8,9,Highly Recommended,178.8
Bioplastic (PLA),65.7,7.6,86.3,2.46,47.2,9,Consider as Option,252.4
Aluminum Foil,40.1,8.0,0.0,11.37,99.9,10,Avoid,210.2
Bamboo Fiber,56.5,8.2,99.8,1.12,33.3,6,Highly Recommended,225.0
Mushroom Mycelium,15.4,3.9,100.0,0.1,100.0,6,Highly Recommended,99.8
Edible Seaweed Film,12.4,9.7,100.0,0.59,4.3,3,Consider as Option,136.8
Virgin Plastic (PP),78.0,10.0,4.4,5.17,17.7,10,Avoid,306.0
Bamboo Fiber,48.5,8.6,96.2,0.63,32.8,7,Highly Recommended,218.0
Aluminum Foil,34.6,9.1,0.0,8.34,92.2,10,Avoid,210.2
Edible Seaweed Film,12.3,7.3,100.0,0.36,2.0,4,Consider as Option,117.6
Bamboo Fiber,48.9,7.0,97.9,1.1,45.3,7,Highly Recommended,202.8
Bioplastic (PLA),53.5,3.0,83.6,1.86,45.8,8,Consider as Option,177.0
Bamboo Fiber,55.2,7.2,99.4,1.1,39.9,8,Highly Recommended,222.4
Bioplastic (PLA),62.7,6.4,87.4,2.42,46.8,8,Consider as Option,229.4
Bioplastic (PLA),51.7,0.6,93.2,1.88,49.7,8,Highly Recommended,149.4
Bamboo Fiber,51.3,7.1,96.9,0.74,49.7,6,Highly Recommended,203.6
Edible Seaweed Film,12.9,3.4,100.0,0.28,6.8,4,Consider as Option,79.8
Aluminum Foil,26.3,8.4,0.0,10.03,91.6,10,Avoid,186.6
Bagasse (Sugarcane),34.9,1.4,99.3,1.04,52.7,7,Highly Recommended,118.8
Bioplastic (PLA),52.3,4.5,88.0,2.4,54.5,9,Highly Recommended,194.6
Aluminum Foil,23.9,1.0,0.0,9.22,98.7,10,Avoid,107.8
Edible Seaweed Film,12.1,1.7,100.0,0.57,4.2,2,Consider as Option,51.2
Edible Seaweed Film,8.3,7.2,100.0,0.54,5.3,3,Consider as Option,103.6
Aluminum Foil,36.4,6.1,0.0,9.91,92.5,10,Avoid,183.8
Recycled Cardboard,30.3,0.5,95.9,1.17,91.6,4,Highly Recommended,85.6
Aluminum Foil,25.1,3.0,0.0,8.05,96.8,10,Avoid,130.2
Bioplastic (PLA),69.7,9.8,81.7,2.06,58.6,9,Highly Recommended,282.4
Aluminum Foil,35.9,0.9,0.0,10.29,99.6,10,Avoid,130.8
Recycled Cardboard,15.9,5.1,97.2,0.96,90.3,3,Highly Recommended,97.8
Virgin Plastic (PP),66.4,4.2,3.1,5.74,24.4,10,Avoid,224.8
Bamboo Fiber,58.8,1.1,95.6,0.6,31.0,7,Highly Recommended,163.6
Recycled Cardboard,34.9,9.3,93.6,1.4,95.1,5,Highly Recommended,187.8
Bamboo Fiber,57.0,8.1,99.6,0.77,37.3,8,Highly Recommended,235.0
Mushroom Mycelium,12.6,9.1,100.0,0.3,100.0,6,Highly Recommended,146.2
Edible Seaweed Film,12.9,4.7,100.0,0.33,8.2,3,Consider as Option,87.8
Bamboo Fiber,41.1,2.1,97.1,0.73,38.3,8,Highly Recommended,143.2
Mushroom Mycelium,17.2,8.7,100.0,0.24,100.0,6,Highly Recommended,151.4
Bamboo Fiber,48.1,9.5,96.9,0.72,41.7,6,Highly Recommended,221.2
Virgin Plastic (PP),68.6,5.5,4.4,5.15,28.3,10,Avoid,242.2
Recycled Cardboard,17.5,5.7,95.8,1.11,90.4,5,Highly Recommended,117.0
Bioplastic (PLA),70.4,8.6,83.5,1.9,57.6,8,Highly Recommended,266.8
Virgin Plastic (PP),72.3,8.3,2.1,4.97,27.8,10,Avoid,277.6
Mushroom Mycelium,23.3,4.8,100.0,0.37,100.0,4,Highly Recommended,114.6
Bioplastic (PLA),74.6,1.8,80.3,1.99,52.8,8,Consider as Option,207.2
Edible Seaweed Film,7.0,7.5,100.0,0.47,1.1,4,Consider as Option,109.0
Bamboo Fiber,47.3,7.2,95.4,0.77,36.3,7,Highly Recommended,201.6
Bioplastic (PLA),50.0,5.6,82.8,2.47,41.5,8,Consider as Option,196.0
Bagasse (Sugarcane),39.5,1.7,97.4,1.26,56.2,5,Highly Recommended,121.0
Virgin Plastic (PP),74.4,1.4,3.7,3.56,11.9,10,Avoid,212.8
Recycled Cardboard,23.4,1.0,98.9,0.96,82.6,4,Highly Recommended,76.8
Bamboo Fiber,41.3,9.2,99.8,1.2,44.3,7,Highly Recommended,209.6
Recycled Cardboard,22.2,2.6,96.2,1.15,92.5,4,Highly Recommended,90.4
Aluminum Foil,42.1,3.9,0.0,10.22,97.8,10,Avoid,173.2
Bagasse (Sugarcane),25.2,4.9,98.0,1.35,56.7,7,Highly Recommended,134.4
Bamboo Fiber,56.0,9.1,99.0,0.52,45.2,8,Highly Recommended,243.0
Mushroom Mycelium,19.1,7.7,100.0,0.32,100.0,5,Highly Recommended,140.2
Aluminum Foil,41.4,3.3,0.0,9.35,98.0,10,Avoid,165.8
Virgin Plastic (PP),79.3,8.3,2.2,3.61,27.8,10,Avoid,291.6
Virgin Plastic (PP),64.2,2.1,0.2,5.71,10.9,10,Avoid,199.4
Mushroom Mycelium,22.9,8.0,100.0,0.29,100.0,4,Highly Recommended,145.8
Recycled Cardboard,30.5,8.3,91.8,1.03,88.3,5,Highly Recommended,169.0
Bamboo Fiber,50.9,9.7,96.3,0.88,46.1,6,Highly Recommended,228.8
Aluminum Foil,36.5,6.0,0.0,9.66,97.7,10,Avoid,183.0
Bioplastic (PLA),51.7,2.7,91.6,2.48,58.6,9,Highly Recommended,175.4
Virgin Plastic (PP),78.0,5.6,0.1,5.55,24.7,10,Avoid,262.0
Bioplastic (PLA),67.7,3.1,90.4,2.23,46.3,9,Highly Recommended,211.4
Recycled Cardboard,27.7,5.6,93.1,0.9,99.5,4,Highly Recommended,131.4
Bioplastic (PLA),56.6,4.6,82.6,1.97,57.0,8,Highly Recommended,199.2
Aluminum Foil,44.1,5.0,0.0,8.28,92.8,10,Avoid,188.2
Aluminum Foil,44.9,7.3,0.0,9.96,96.5,10,Avoid,212.8
Edible Seaweed Film,5.5,8.7,100.0,0.31,5.8,2,Consider as Option,108.0
Aluminum Foil,24.9,0.5,0.0,9.5,96.2,10,Avoid,104.8
Bamboo Fiber,44.3,4.7,97.1,0.82,42.5,6,Highly Recommended,165.6
Edible Seaweed Film,10.9,2.3,100.0,0.5,9.5,2,Consider as Option,54.8
Aluminum Foil,44.3,9.6,0.0,11.84,96.5,10,Avoid,234.6
Mushroom Mycelium,10.7,3.1,100.0,0.2,100.0,4,Highly Recommended,72.4
Bamboo Fiber,48.7,1.0,96.6,0.55,49.5,7,Highly Recommended,142.4
Bagasse (Sugarcane),29.4,1.2,97.6,1.19,50.2,6,Highly Recommended,100.8
Bagasse (Sugarcane),22.0,5.3,98.2,1.18,52.5,5,Highly Recommended,122.0
