Material Type,Strength_Mpa,Weight_Capacity_Kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_percent,Cost_per_kg,Moisture_Resistance_percent,Temperature Tolerance (°C),Compostable (Yes/No),Shelf Life Impact Score (1-10),Typical Food Use Case
Wood-based,54.49,8.27,36.4,8.789,19.5,3.77,100.0,1.7,No,2,Takeaway Boxes
Biopolymer,65.98,13.85,85.4,4.332,63.5,2.88,39.5,46.6,Yes,10,Bakery Packaging
Inorganic,116.7,7.48,61.6,7.827,51.5,0.68,48.0,26.8,Yes,3,Dissolvable Pouches
Biodegradable Polymer,6.72,6.54,79.6,1.487,64.4,5.83,77.7,116.8,Yes,1,Bakery Packaging
Natural Polymer,31.02,7.44,48.5,1.731,11.9,2.84,74.5,65.2,No,6,Crates
Plant-based Polymer,35.53,6.77,44.4,1.161,12.2,5.16,57.7,100.4,No,8,Bakery Packaging
Synthetic Polymer,27.2,11.47,45.0,4.342,63.7,3.63,55.3,-13.2,No,7,Wraps
Paper-based,89.62,6.51,48.3,13.036,55.8,2.61,56.8,76.7,No,6,Cushion Packaging
Biodegradable Polymer,94.96,8.98,59.5,7.061,85.6,1.41,50.4,43.6,Yes,4,Crates
Paper-based,32.18,6.68,40.6,3.977,55.5,1.71,57.2,109.6,No,1,Cereal Boxes
Natural Fiber,94.99,3.17,32.9,6.455,53.3,2.21,69.8,18.9,No,5,Cushion Packaging
Bio-Composite,54.76,9.34,5.8,4.719,53.5,2.06,24.1,58.0,No,1,Wraps
Synthetic Polymer,54.02,10.3,65.5,3.468,50.7,1.23,70.9,47.9,Yes,7,Crates
Plant-based Polymer,25.25,12.79,35.9,1.446,49.8,2.16,44.2,83.4,No,5,Dissolvable Pouches
Biodegradable Polymer,100.19,7.7,54.2,10.149,68.2,4.7,59.1,58.4,Yes,3,Containers
Paper-based,134.39,0.82,58.2,6.73,83.4,3.27,46.5,68.8,Yes,5,Dissolvable Pouches
Metal,121.59,4.91,84.8,3.569,77.4,2.52,85.7,50.5,Yes,5,Bakery Packaging
Metal,118.02,4.76,51.0,0.0,92.7,0.8,38.3,83.5,Yes,7,Plates
Biopolymer,65.2,5.17,83.5,6.993,79.4,3.75,78.4,20.4,Yes,7,Cutlery
Natural Polymer,125.67,11.81,38.6,11.386,13.3,0.7,65.6,53.0,No,3,Beverage Bottles
Natural Polymer,72.02,5.2,26.3,0.809,35.3,3.21,31.3,39.9,No,7,Bowls
Bio-Composite,12.55,4.94,0.0,5.616,19.2,2.02,53.3,129.2,No,4,Bakery Packaging
Natural Fiber,109.01,6.57,82.8,10.862,26.5,3.48,69.6,69.6,Yes,3,Edible Wraps
Plant-based Polymer,72.59,7.27,34.7,2.854,81.9,2.72,55.8,86.4,No,6,Food Trays
Natural Fiber,52.36,7.29,43.8,4.622,45.6,2.59,32.6,57.1,No,8,Plates
Natural Fiber,1.0,7.72,79.4,4.232,25.5,3.42,85.3,68.3,Yes,9,Containers
Biopolymer,74.68,10.29,56.5,6.189,86.5,3.95,44.1,85.5,Yes,1,Plates
Paper-based,132.11,3.85,53.9,4.568,78.7,4.24,78.7,56.0,Yes,10,Cutlery
Synthetic Polymer,123.08,10.31,44.2,7.815,85.5,1.05,40.4,73.8,No,4,Plates
Bio-Composite,104.33,6.0,35.3,4.533,67.1,3.35,69.0,62.3,No,4,Dissolvable Pouches
Inorganic,132.58,5.59,44.5,6.078,43.7,2.35,74.7,36.2,No,3,Cutlery
Paper-based,109.23,9.62,33.0,0.0,86.2,1.7,100.0,11.6,No,5,Dissolvable Pouches
Inorganic,110.7,8.31,49.6,8.238,54.5,2.22,76.3,148.5,No,2,Plates
Natural Polymer,67.26,9.9,31.3,5.047,43.8,2.66,70.3,-20.0,No,3,Wraps
Inorganic,86.23,10.24,63.5,5.248,54.9,1.96,90.2,172.6,Yes,2,Cushion Packaging
Paper-based,22.59,4.74,40.8,0.0,61.3,4.87,96.6,71.6,No,10,Dissolvable Pouches
Paper-based,87.03,9.14,97.8,5.457,99.4,0.56,34.5,51.5,Yes,8,Bowls
Natural Polymer,86.72,13.05,84.5,4.744,51.1,1.46,75.7,19.0,Yes,5,Bakery Packaging
Natural Polymer,79.54,6.02,46.2,2.237,54.4,0.03,49.3,21.7,No,8,Bakery Packaging
Natural Polymer,153.63,7.34,66.4,3.294,57.0,2.18,85.9,44.6,Yes,7,Edible Wraps
Wood-based,3.15,7.77,62.2,8.903,63.7,1.06,58.0,6.5,Yes,5,Dissolvable Pouches
Plant-based Polymer,57.22,2.93,54.8,0.0,22.5,1.43,53.2,75.5,Yes,8,Bakery Packaging
Biopolymer,92.04,12.12,77.9,4.099,68.4,2.68,57.1,39.6,Yes,8,Cutlery
Inorganic,1.0,4.59,49.2,5.374,93.2,3.97,75.2,43.4,No,4,Takeaway Boxes
Paper-based,200.28,5.62,0.0,1.575,41.3,0.86,71.9,92.2,No,8,Bakery Packaging
Wood-based,21.78,5.41,46.3,9.362,97.7,3.77,54.8,95.4,No,5,Cushion Packaging
Natural Fiber,30.56,7.59,44.7,4.551,29.8,2.36,73.8,39.3,No,7,Cereal Boxes
Metal,79.52,6.73,62.7,6.351,71.6,1.71,91.7,17.4,Yes,5,Bakery Packaging
Inorganic,50.01,4.15,86.1,11.067,90.6,2.74,65.6,64.7,Yes,5,Food Trays
Plant-based Polymer,32.98,1.25,32.8,5.498,100.0,1.5,52.4,85.9,No,4,Food Trays
Metal,144.41,0.1,54.0,4.198,51.2,4.95,37.7,9.2,Yes,5,Dissolvable Pouches
Natural Polymer,38.94,2.84,33.5,7.604,21.3,1.92,68.8,64.6,No,7,Plates
Metal,102.86,4.41,47.6,5.284,57.9,3.15,64.4,77.8,No,6,Produce Wraps
Natural Fiber,97.61,9.01,75.5,5.295,45.2,4.02,78.5,-13.5,Yes,6,Dissolvable Pouches
Synthetic Polymer,58.3,8.74,43.5,0.316,84.8,3.06,37.5,56.3,No,1,Wraps
Plant-based Polymer,94.47,6.87,45.6,7.817,22.8,4.17,94.1,77.4,No,2,Containers
Biodegradable Polymer,86.01,6.12,62.3,0.152,53.7,4.3,97.8,28.4,Yes,3,Cereal Boxes
Bio-Composite,71.17,5.24,64.0,0.458,60.2,2.67,45.5,48.2,Yes,7,Wraps
Natural Fiber,116.21,4.26,44.8,11.38,100.0,5.04,60.5,12.9,No,4,Cushion Packaging
Natural Polymer,27.03,7.72,70.2,11.015,44.1,0.42,52.9,-16.0,Yes,4,Bakery Packaging
Plant-based Polymer,1.0,0.1,27.3,4.925,72.6,3.23,92.1,68.7,No,4,Crates
Plant-based Polymer,42.27,6.48,58.1,2.426,99.6,2.48,99.1,86.7,Yes,6,Bakery Packaging
Natural Polymer,45.21,2.67,30.3,5.009,78.7,0.31,74.0,21.6,No,5,Crates
Natural Fiber,124.01,7.0,52.8,9.837,57.2,4.78,63.2,90.8,Yes,8,Takeaway Boxes
Wood-based,53.52,5.24,15.5,1.59,30.8,3.56,56.5,54.8,No,1,Crates
Wood-based,29.23,5.63,56.4,2.895,92.9,4.38,0.4,-11.1,Yes,5,Edible Wraps
Bio-Composite,116.85,3.74,43.2,3.24,39.2,1.76,57.9,-20.0,No,7,Bakery Packaging
Biopolymer,136.02,1.89,72.2,6.037,64.0,2.93,71.1,106.6,Yes,5,Bakery Packaging
Biodegradable Polymer,28.42,9.44,62.9,3.401,37.6,4.49,62.2,73.2,Yes,2,Dissolvable Pouches
Synthetic Polymer,76.98,5.38,38.8,5.406,51.7,2.58,61.2,48.5,No,10,Produce Wraps
Biopolymer,167.81,3.56,62.7,6.127,55.2,5.25,40.9,34.7,Yes,2,Cutlery
Metal,106.82,3.76,19.7,1.588,74.3,2.54,48.8,-20.0,No,8,Cushion Packaging
Inorganic,79.8,3.39,98.1,3.371,57.9,5.54,67.3,80.9,Yes,8,Food Trays
Natural Polymer,21.45,5.4,44.7,0.41,57.0,2.01,41.5,70.2,No,7,Containers
Inorganic,118.63,8.24,39.2,5.192,55.9,0.09,56.9,26.2,No,3,Cushion Packaging
Biopolymer,27.59,8.73,29.7,2.384,42.7,0.01,41.8,70.4,No,7,Takeaway Boxes
Natural Fiber,48.25,8.02,30.1,6.139,91.0,0.75,67.4,30.4,No,3,Cereal Boxes
Inorganic,79.64,4.78,97.2,8.453,46.2,0.01,75.9,-20.0,Yes,4,Plates
Biopolymer,36.26,5.5,0.0,5.347,80.9,2.56,92.8,22.5,No,8,Containers
Natural Polymer,17.81,2.97,55.6,6.561,87.4,1.65,49.9,36.0,Yes,8,Takeaway Boxes
Biopolymer,93.5,3.06,60.3,8.443,100.0,2.46,15.3,-1.4,Yes,2,Beverage Bottles
Biopolymer,3.51,0.86,8.7,10.184,69.8,4.09,79.9,-11.1,No,3,Takeaway Boxes
Metal,38.54,6.78,53.7,0.0,57.6,1.79,74.2,50.0,Yes,2,Bowls
Natural Polymer,93.67,9.15,74.0,0.345,58.5,6.1,63.8,75.7,Yes,6,Bakery Packaging
Biopolymer,20.56,6.47,58.5,6.213,33.5,1.61,47.3,54.3,Yes,10,Plates
Paper-based,126.71,4.72,2.3,3.831,33.7,4.15,61.3,54.9,No,3,Bowls
Metal,99.32,12.89,57.9,2.134,76.2,3.06,26.8,39.1,Yes,4,Bakery Packaging
Wood-based,62.49,6.05,43.9,4.618,71.9,2.4,59.3,64.1,No,4,Crates
Wood-based,59.04,6.57,36.0,6.202,57.7,1.45,72.9,65.8,No,6,Plates
Metal,153.7,5.53,88.6,2.278,45.3,2.51,52.8,22.6,Yes,4,Dissolvable Pouches
Metal,145.62,9.43,68.4,1.099,70.6,1.86,49.4,56.0,Yes,10,Edible Wraps
Bio-Composite,16.37,6.44,26.1,5.189,45.3,2.3,21.9,72.7,No,4,Bakery Packaging
Wood-based,79.89,10.65,55.4,3.613,56.9,0.01,26.0,11.8,Yes,1,Bakery Packaging
Paper-based,66.86,2.05,31.0,5.697,70.5,3.22,81.0,21.1,No,4,Cereal Boxes
Biodegradable Polymer,64.3,9.49,11.7,5.945,57.4,1.6,82.1,35.1,No,6,Bakery Packaging
Synthetic Polymer,80.48,9.92,58.9,8.432,75.4,1.55,71.7,34.8,Yes,3,Edible Wraps
Synthetic Polymer,77.59,7.73,45.2,5.66,33.6,2.72,62.4,48.3,No,1,Beverage Bottles
Wood-based,66.16,0.43,57.7,1.584,69.7,1.37,47.8,24.4,Yes,10,Containers
Paper-based,130.87,8.73,100.0,8.156,65.2,2.57,74.4,2.7,Yes,6,Dissolvable Pouches
Paper-based,78.83,5.4,93.6,7.81,39.1,2.83,82.3,23.7,Yes,2,Crates
Biopolymer,39.96,0.1,44.6,6.448,30.9,3.3,95.5,80.7,No,8,Edible Wraps
Bio-Composite,36.95,3.73,69.1,4.46,46.4,1.72,47.4,42.5,Yes,7,Dissolvable Pouches
Wood-based,104.73,2.97,60.9,5.696,64.0,3.89,68.5,37.6,Yes,3,Produce Wraps
Biopolymer,130.77,7.12,90.3,6.337,24.2,2.33,15.3,50.7,Yes,8,Cereal Boxes
Natural Polymer,81.77,7.43,19.6,2.419,78.7,2.14,81.5,150.2,No,6,Cutlery
Biodegradable Polymer,70.19,3.12,47.3,5.562,86.1,2.85,43.6,-20.0,No,1,Bowls
Biopolymer,157.11,4.88,8.7,2.608,3.3,3.71,66.9,38.0,No,10,Bowls
Natural Fiber,92.64,4.87,0.0,1.663,75.0,2.91,33.7,92.4,No,1,Bakery Packaging
Natural Fiber,122.13,3.9,46.1,5.285,87.8,1.44,93.3,24.2,No,5,Edible Wraps
Inorganic,48.42,3.83,24.5,0.906,57.1,3.48,25.9,42.9,No,1,Cushion Packaging
Inorganic,25.18,12.1,44.6,5.084,68.8,6.3,100.0,27.0,No,9,Cushion Packaging
Paper-based,50.34,10.76,63.2,0.0,81.2,2.11,45.6,-19.3,Yes,9,Dissolvable Pouches
Natural Polymer,111.22,2.8,36.5,5.435,32.0,2.89,27.4,66.3,No,2,Cutlery
Biodegradable Polymer,41.62,10.34,56.5,3.277,22.5,4.21,42.9,36.3,Yes,5,Bowls
Plant-based Polymer,123.58,10.24,28.7,1.385,41.4,4.5,44.9,47.0,No,1,Plates
Natural Polymer,1.0,3.23,60.8,9.525,60.0,0.96,97.3,62.3,Yes,4,Containers
Inorganic,71.92,11.67,31.0,7.14,44.4,3.57,68.2,17.8,No,4,Takeaway Boxes
Synthetic Polymer,125.39,3.58,85.4,5.306,59.8,1.13,71.4,87.7,Yes,7,Dissolvable Pouches
Plant-based Polymer,90.59,10.61,62.9,1.158,22.6,2.28,100.0,43.0,Yes,4,Bowls
Plant-based Polymer,42.47,4.77,74.4,10.299,70.1,3.44,84.8,33.2,Yes,9,Dissolvable Pouches
Bio-Composite,8.97,3.19,100.0,1.113,100.0,4.14,59.2,7.8,Yes,1,Beverage Bottles
Metal,76.4,5.79,36.3,2.316,62.3,3.43,71.7,11.6,No,7,Food Trays
Wood-based,86.44,3.49,69.1,4.795,68.2,6.06,44.4,38.0,Yes,1,Beverage Bottles
Bio-Composite,95.18,3.63,18.8,2.619,29.5,2.67,96.9,-20.0,No,7,Produce Wraps
Inorganic,3.03,5.94,56.8,4.106,67.0,1.21,69.6,-14.0,Yes,5,Takeaway Boxes
Biodegradable Polymer,98.68,4.1,29.6,8.037,41.7,4.01,54.6,51.1,No,3,Cutlery
Wood-based,126.81,12.8,41.1,9.85,63.9,2.02,47.5,-20.0,No,6,Food Trays
Inorganic,46.29,7.84,66.9,6.094,76.7,2.09,57.3,88.5,Yes,7,Dissolvable Pouches
Natural Fiber,71.15,9.48,67.9,6.367,46.0,2.13,68.6,23.0,Yes,1,Cushion Packaging
Natural Polymer,8.05,8.09,32.3,6.291,97.7,3.36,79.0,27.9,No,3,Takeaway Boxes
Bio-Composite,54.42,6.86,46.4,3.119,79.2,3.8,35.3,33.7,No,5,Crates
Natural Fiber,27.5,6.86,22.8,6.509,35.8,1.84,55.6,68.1,No,2,Beverage Bottles
Natural Polymer,136.55,7.59,54.4,3.717,52.0,3.76,66.3,38.2,Yes,4,Containers
Natural Fiber,37.01,8.84,98.2,4.306,42.0,2.44,72.0,44.6,Yes,7,Plates
Wood-based,47.55,8.28,76.9,0.904,69.5,2.76,67.3,44.5,Yes,5,Crates
Natural Fiber,1.0,9.6,66.2,4.951,76.0,5.17,70.8,94.2,Yes,1,Cereal Boxes
Biodegradable Polymer,62.14,5.98,67.7,6.204,22.8,3.36,100.0,103.5,Yes,8,Containers
Natural Polymer,88.05,9.85,50.2,4.468,86.3,2.61,57.1,37.7,Yes,6,Cushion Packaging
Paper-based,18.25,16.31,71.3,1.516,67.6,1.77,89.2,26.8,Yes,6,Crates
Natural Fiber,53.05,8.05,45.1,7.383,45.9,2.85,89.6,87.0,No,6,Containers
Synthetic Polymer,54.84,7.63,56.8,3.764,45.9,2.54,66.0,5.3,Yes,4,Wraps
Natural Fiber,107.35,9.38,33.0,3.556,93.3,1.77,100.0,50.5,No,8,Produce Wraps
Wood-based,111.84,4.95,75.0,8.926,5.0,1.49,29.4,97.4,Yes,7,Bakery Packaging
Paper-based,65.06,8.68,80.9,5.387,43.4,4.16,65.1,84.0,Yes,1,Plates
Wood-based,93.5,1.92,60.5,5.545,63.7,0.77,100.0,18.7,Yes,2,Edible Wraps
Wood-based,55.94,8.97,38.5,5.759,34.6,1.92,31.4,20.3,No,3,Cereal Boxes
Biodegradable Polymer,25.13,1.66,80.8,0.802,69.0,2.32,62.8,44.1,Yes,2,Plates
Biodegradable Polymer,24.1,1.88,31.1,5.348,44.1,4.16,52.1,91.9,No,10,Bakery Packaging
Natural Polymer,94.32,11.17,81.7,3.207,55.2,2.39,100.0,41.8,Yes,9,Produce Wraps
Inorganic,67.2,4.11,71.2,5.751,67.6,3.27,60.8,99.8,Yes,1,Cushion Packaging
Biodegradable Polymer,111.83,5.01,77.6,5.347,42.2,5.26,70.5,-0.2,Yes,10,Food Trays
Inorganic,89.11,5.24,63.1,8.642,45.9,4.53,73.4,33.5,Yes,10,Produce Wraps
Biopolymer,60.18,5.42,62.8,0.104,50.4,1.28,33.7,-12.2,Yes,8,Edible Wraps
Biodegradable Polymer,108.14,4.26,42.3,7.71,27.5,1.63,26.0,70.0,No,8,Crates
Inorganic,105.27,13.53,58.4,10.284,35.7,1.23,64.9,86.7,Yes,7,Takeaway Boxes
Biodegradable Polymer,113.13,4.92,0.0,5.098,31.3,2.8,67.4,46.4,No,8,Bowls
Natural Polymer,84.66,6.69,61.4,2.864,69.2,4.57,50.9,8.3,Yes,8,Takeaway Boxes
Synthetic Polymer,148.14,6.56,85.8,3.1,64.8,2.76,18.3,39.9,Yes,1,Beverage Bottles
Biodegradable Polymer,104.92,12.7,16.2,0.612,56.0,3.58,32.8,26.5,No,8,Wraps
Bio-Composite,135.31,9.0,75.2,3.61,92.4,5.3,56.6,122.1,Yes,9,Containers
Bio-Composite,100.82,9.36,53.9,1.383,45.9,3.19,100.0,90.9,Yes,1,Cushion Packaging
Natural Fiber,53.7,8.76,72.4,1.003,100.0,3.96,62.2,18.8,Yes,8,Cushion Packaging
Inorganic,129.62,6.46,65.9,2.024,51.1,3.66,69.3,14.9,Yes,3,Takeaway Boxes
Biodegradable Polymer,122.62,1.32,48.1,8.302,69.7,0.01,22.9,48.2,No,10,Wraps
Plant-based Polymer,10.38,5.25,79.6,7.904,73.4,1.66,13.0,45.0,Yes,6,Beverage Bottles
Wood-based,115.14,5.38,0.0,0.0,50.7,1.45,43.9,66.7,No,1,Beverage Bottles
Wood-based,91.17,5.26,33.3,3.166,70.7,2.16,30.6,37.0,No,4,Food Trays
Metal,96.03,9.56,49.9,5.437,90.9,3.01,30.0,6.0,No,6,Bowls
Natural Fiber,38.63,7.57,36.3,2.84,50.6,2.07,67.8,39.1,No,4,Wraps
Paper-based,85.65,5.65,29.1,1.661,41.1,2.97,61.2,0.4,No,3,Crates
Biodegradable Polymer,1.0,6.77,62.9,5.063,100.0,4.32,55.5,52.2,Yes,9,Beverage Bottles
Natural Fiber,101.65,0.76,41.2,7.186,48.6,2.75,26.6,39.8,No,7,Containers
Metal,30.75,6.43,71.1,9.621,81.4,1.06,34.5,73.0,Yes,3,Cushion Packaging
Natural Polymer,34.12,6.2,0.0,5.348,54.5,3.21,94.4,41.0,No,9,Bowls
Biodegradable Polymer,65.22,9.33,36.9,2.832,83.0,3.57,44.2,99.5,No,5,Edible Wraps
Wood-based,116.72,10.99,75.2,9.105,74.6,1.99,31.8,69.9,Yes,6,Bowls
Paper-based,108.18,8.34,70.0,1.614,75.8,1.68,52.0,-9.0,Yes,6,Beverage Bottles
Metal,99.76,7.02,60.1,1.519,86.1,2.19,84.7,111.5,Yes,8,Containers
Paper-based,41.64,5.33,65.3,2.231,92.0,0.46,33.3,30.3,Yes,5,Dissolvable Pouches
Biodegradable Polymer,84.49,3.79,29.9,2.224,51.6,1.36,44.5,37.6,No,1,Edible Wraps
Biodegradable Polymer,61.45,6.36,30.0,3.853,17.2,0.86,64.1,86.0,No,3,Food Trays
Biopolymer,69.24,4.64,34.3,3.126,58.3,2.65,100.0,65.7,No,5,Plates
Wood-based,103.47,0.1,34.2,3.549,76.3,0.22,52.5,35.5,No,1,Cushion Packaging
Synthetic Polymer,9.86,2.98,37.3,8.046,65.2,1.78,100.0,9.3,No,6,Crates
Inorganic,83.6,7.98,23.5,2.532,22.9,2.74,53.5,40.5,No,8,Bowls
Biodegradable Polymer,99.43,2.35,98.1,5.856,52.5,3.49,52.5,44.3,Yes,3,Edible Wraps
Inorganic,82.85,3.09,21.3,5.136,13.0,1.78,74.9,53.9,No,4,Plates
Inorganic,107.1,7.55,49.6,3.558,51.4,3.13,27.0,-6.2,No,4,Bakery Packaging
Bio-Composite,98.41,6.55,40.0,10.115,52.7,1.59,8.2,65.4,No,9,Wraps
Wood-based,45.69,10.43,62.6,1.505,31.2,1.17,20.6,42.8,Yes,9,Cereal Boxes
Wood-based,11.15,9.74,78.1,2.406,79.8,4.62,47.7,36.6,Yes,7,Crates
Paper-based,72.74,4.2,73.5,7.756,62.0,2.02,57.3,48.7,Yes,4,Containers
Natural Fiber,56.85,4.92,32.6,2.185,41.6,0.59,54.2,48.1,No,5,Beverage Bottles
Biodegradable Polymer,110.61,9.65,71.7,6.36,35.3,2.59,75.0,99.6,Yes,3,Dissolvable Pouches
Paper-based,44.52,0.1,33.2,7.151,43.7,3.43,85.2,84.8,No,8,Wraps
Metal,131.6,4.12,46.8,4.465,65.3,1.75,47.8,57.5,No,7,Crates
Wood-based,36.03,6.8,60.3,6.968,100.0,2.79,59.7,48.8,Yes,7,Bowls
Biopolymer,84.55,8.37,89.8,5.31,91.4,4.56,56.2,144.5,Yes,9,Beverage Bottles
Biopolymer,12.05,7.14,31.9,10.852,31.9,3.19,69.0,-20.0,No,6,Cereal Boxes
Inorganic,79.88,6.73,66.5,3.692,91.4,1.02,22.0,10.4,Yes,10,Containers
Plant-based Polymer,1.0,7.63,49.3,3.29,81.7,0.28,100.0,65.5,No,4,Takeaway Boxes
Inorganic,63.44,1.13,74.6,2.915,45.0,4.24,50.4,70.4,Yes,9,Beverage Bottles
Wood-based,65.95,9.19,61.7,4.108,44.8,1.71,53.4,-18.1,Yes,5,Produce Wraps
Biodegradable Polymer,86.45,3.94,78.2,6.442,82.6,4.13,67.0,111.7,Yes,10,Bakery Packaging
Natural Fiber,87.26,6.36,53.0,1.596,49.0,1.73,25.7,-20.0,Yes,1,Containers
Wood-based,165.35,6.12,89.0,8.702,100.0,0.22,71.6,8.0,Yes,3,Crates
Natural Fiber,36.43,5.54,55.9,7.591,66.7,1.95,63.1,42.7,Yes,4,Bakery Packaging
Bio-Composite,44.59,6.81,26.5,5.156,16.5,2.16,30.9,9.0,No,6,Beverage Bottles
Biodegradable Polymer,35.57,9.36,60.8,6.343,28.5,3.02,59.0,28.6,Yes,5,Food Trays
Biodegradable Polymer,36.31,7.93,84.4,7.348,31.0,2.4,56.5,85.6,Yes,3,Cereal Boxes
Synthetic Polymer,82.84,10.59,76.0,1.613,43.7,2.35,45.0,90.4,Yes,5,Wraps
Metal,22.91,11.94,78.4,0.0,76.8,2.0,75.3,65.7,Yes,10,Bakery Packaging
Biopolymer,43.16,6.72,40.8,4.713,40.8,2.21,49.0,-18.0,No,5,Cutlery
Biodegradable Polymer,86.48,9.06,16.2,6.159,41.1,1.27,40.4,-15.9,No,8,Crates
Biodegradable Polymer,78.42,9.32,29.3,8.053,50.7,3.23,77.9,56.6,No,9,Cushion Packaging
Biodegradable Polymer,99.99,2.47,27.8,3.24,79.5,1.02,61.8,68.8,No,1,Dissolvable Pouches
Plant-based Polymer,80.05,10.22,18.5,5.045,91.0,3.55,71.2,119.1,No,10,Containers
Paper-based,134.62,0.58,98.3,0.0,52.0,5.02,29.5,-20.0,Yes,7,Beverage Bottles
Synthetic Polymer,12.43,1.95,90.6,9.069,47.3,3.31,65.4,-20.0,Yes,1,Produce Wraps
Synthetic Polymer,52.87,4.99,64.0,4.312,66.8,1.4,43.3,123.2,Yes,3,Takeaway Boxes
Metal,69.59,3.59,19.2,6.867,64.9,2.08,41.5,56.1,No,4,Cereal Boxes
Wood-based,94.37,8.2,41.2,4.955,70.4,0.01,39.2,53.3,No,5,Food Trays
Metal,61.05,9.39,59.2,6.991,64.0,0.62,42.8,-20.0,Yes,6,Crates
Inorganic,82.95,7.12,3.2,5.1,62.2,2.24,44.9,26.8,No,5,Beverage Bottles
Metal,73.93,8.25,27.8,6.805,89.0,1.83,64.5,-13.3,No,3,Food Trays
Biodegradable Polymer,8.2,4.18,80.8,6.84,68.0,4.14,65.6,46.8,Yes,7,Wraps
Biopolymer,37.11,9.93,34.7,8.502,100.0,2.15,33.9,57.7,No,9,Beverage Bottles
Wood-based,100.04,4.12,0.0,9.824,94.5,3.54,51.8,60.4,No,7,Containers
Wood-based,50.98,10.44,46.7,0.0,71.6,1.24,100.0,2.4,No,7,Wraps
Wood-based,118.83,9.39,17.1,7.577,96.0,1.83,85.1,-20.0,No,9,Edible Wraps
Biopolymer,54.96,6.14,77.2,3.771,55.4,0.58,81.0,124.8,Yes,8,Containers
Natural Fiber,1.0,6.83,63.9,6.536,45.4,4.04,39.0,53.6,Yes,8,Crates
Paper-based,61.35,1.95,81.4,4.306,100.0,2.36,79.3,66.8,Yes,4,Wraps
Biopolymer,112.49,3.48,80.8,5.308,75.7,3.86,41.4,124.8,Yes,5,Bowls
Natural Polymer,128.61,10.72,29.6,2.544,45.0,0.35,82.0,1.8,No,1,Bakery Packaging
Biodegradable Polymer,73.02,8.61,33.4,5.815,50.4,3.39,22.6,53.8,No,6,Beverage Bottles
Bio-Composite,54.14,0.1,46.8,0.821,66.6,2.3,0.0,2.0,No,6,Cereal Boxes
Bio-Composite,92.73,2.06,62.7,4.293,53.1,0.01,48.8,54.9,Yes,2,Cereal Boxes
Plant-based Polymer,51.14,7.92,100.0,11.372,53.2,0.77,63.3,102.2,Yes,5,Dissolvable Pouches
Biodegradable Polymer,58.81,4.49,4.4,7.006,34.2,2.66,29.1,75.4,No,9,Wraps
Synthetic Polymer,76.81,1.35,30.2,5.288,49.0,2.78,87.2,70.1,No,2,Cushion Packaging
Plant-based Polymer,56.43,2.68,92.0,10.444,34.2,4.04,52.8,59.9,Yes,5,Bowls
Natural Fiber,94.15,0.1,16.8,4.441,50.3,3.75,38.3,46.6,No,6,Bowls
Inorganic,58.08,9.05,20.8,8.105,21.8,2.04,78.6,11.2,No,5,Bowls
Biodegradable Polymer,173.76,4.44,53.3,0.0,51.9,5.13,87.0,-1.9,Yes,10,Food Trays
Biopolymer,33.25,8.16,18.1,1.403,75.1,1.02,57.0,49.8,No,4,Takeaway Boxes
Metal,82.2,5.66,74.6,0.0,67.9,3.87,39.8,21.7,Yes,1,Beverage Bottles
Plant-based Polymer,77.3,4.4,45.9,6.363,50.8,1.39,18.4,-5.1,No,9,Beverage Bottles
Biopolymer,71.7,6.12,14.4,4.527,37.2,2.22,55.2,20.7,No,10,Cushion Packaging
Biopolymer,60.6,7.84,30.5,1.425,75.3,3.63,50.7,26.6,No,9,Takeaway Boxes
Metal,45.07,7.56,45.7,3.576,84.1,3.44,24.3,10.0,No,1,Cereal Boxes
Wood-based,121.28,4.98,95.4,1.385,77.6,1.43,58.4,116.3,Yes,3,Cutlery
Biopolymer,86.84,0.42,79.3,10.577,70.8,3.01,47.5,-7.6,Yes,7,Bakery Packaging
Metal,30.95,5.1,48.1,7.227,91.0,2.54,56.1,12.7,No,1,Beverage Bottles
Metal,93.7,13.43,52.8,6.119,0.0,3.17,33.8,25.1,Yes,3,Cushion Packaging
Biopolymer,34.02,10.57,22.3,6.674,88.9,3.47,74.0,19.1,No,4,Beverage Bottles
Inorganic,45.0,5.85,56.0,7.066,58.9,4.11,83.2,-20.0,Yes,8,Dissolvable Pouches
Natural Polymer,28.64,10.84,59.3,3.867,29.8,2.32,83.0,5.7,Yes,1,Crates
Biopolymer,92.31,4.96,23.4,6.395,81.0,1.02,100.0,26.6,No,4,Wraps
Wood-based,39.47,7.86,9.2,6.581,61.6,2.8,75.4,122.8,No,5,Cutlery
Synthetic Polymer,87.21,8.41,8.3,4.203,32.8,1.93,47.6,55.9,No,4,Cushion Packaging
Synthetic Polymer,128.03,7.38,100.0,2.903,73.9,0.26,62.6,31.4,Yes,4,Bowls
Metal,96.45,2.04,67.4,6.971,57.4,4.63,77.4,85.0,Yes,4,Bakery Packaging
Biodegradable Polymer,178.74,11.16,49.4,4.586,49.0,1.81,29.0,37.0,No,8,Edible Wraps
Inorganic,134.1,2.37,56.9,4.767,46.7,1.56,58.7,104.8,Yes,1,Beverage Bottles
Synthetic Polymer,127.32,7.84,68.4,5.697,100.0,3.06,34.3,62.5,Yes,10,Produce Wraps
