Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Virgin Plastic (PP),67.1,4.5,1.8,4.11,29.4,10,Avoid
Aluminum Foil,20.4,4.5,0.0,10.36,95.6,10,Avoid
Bamboo Fiber,57.2,7.2,95.7,0.5,37.1,8,Highly Recommended
Bamboo Fiber,43.8,4.7,95.2,0.8,43.7,6,Highly Recommended
Recycled Cardboard,17.7,1.1,95.7,1.36,80.6,4,Highly Recommended
Edible Seaweed Film,14.5,9.3,100.0,0.37,4.4,3,Consider as Option
Edible Seaweed Film,12.9,4.1,100.0,0.5,7.0,3,Consider as Option
Bioplastic (PLA),74.9,0.9,83.2,1.98,44.9,8,Consider as Option
Bamboo Fiber,47.9,1.5,98.1,1.1,30.3,8,Highly Recommended
Bioplastic (PLA),52.0,8.3,92.6,1.98,47.2,8,Highly Recommended
Bioplastic (PLA),74.4,3.2,89.4,2.39,44.3,8,Consider as Option
Virgin Plastic (PP),62.7,4.5,3.0,4.0,13.6,10,Avoid
Edible Seaweed Film,13.4,7.7,100.0,0.4,1.9,4,Consider as Option
Bagasse (Sugarcane),31.3,4.0,95.3,1.32,67.4,6,Highly Recommended
Edible Seaweed Film,5.9,3.4,100.0,0.2,0.8,3,Consider as Option
Bamboo Fiber,44.5,1.8,95.2,0.98,33.5,6,Highly Recommended
Mushroom Mycelium,21.4,2.6,100.0,0.12,100.0,6,Highly Recommended
Bamboo Fiber,42.0,6.0,97.9,0.91,30.5,7,Highly Recommended
Aluminum Foil,36.4,6.8,0.0,9.76,92.6,10,Avoid
Bagasse (Sugarcane),25.6,6.8,96.8,1.24,50.2,7,Highly Recommended
Bagasse (Sugarcane),31.7,0.8,97.0,1.31,66.9,5,Highly Recommended
Recycled Cardboard,17.7,8.7,95.7,0.86,91.4,3,Highly Recommended
Bamboo Fiber,51.8,8.1,95.2,0.73,49.7,7,Highly Recommended
Bioplastic (PLA),56.8,7.8,85.3,1.56,51.0,8,Highly Recommended
Bioplastic (PLA),72.3,3.9,84.2,2.02,43.8,8,Consider as Option
Aluminum Foil,28.9,7.8,0.0,9.98,97.1,10,Avoid
Bagasse (Sugarcane),38.1,6.0,95.0,1.13,61.8,5,Highly Recommended
Bagasse (Sugarcane),37.0,9.0,95.5,0.9,64.4,6,Highly Recommended
Virgin Plastic (PP),71.1,7.8,3.7,5.98,22.4,10,Avoid
Bagasse (Sugarcane),24.1,2.6,95.3,1.27,53.4,7,Highly Recommended
Mushroom Mycelium,13.7,5.5,100.0,0.15,100.0,4,Highly Recommended
Recycled Cardboard,18.3,6.1,97.2,1.25,83.3,4,Highly Recommended
Bagasse (Sugarcane),29.4,6.8,97.0,0.95,50.5,7,Highly Recommended
Mushroom Mycelium,16.7,5.8,100.0,0.23,100.0,6,Highly Recommended
Bagasse (Sugarcane),36.6,3.4,98.6,1.06,56.5,6,Highly Recommended
Bagasse (Sugarcane),30.0,1.9,97.0,1.25,62.0,6,Highly Recommended
Bamboo Fiber,60.0,1.0,96.4,0.81,33.9,8,Highly Recommended
Virgin Plastic (PP),73.5,0.8,2.1,4.15,16.0,10,Avoid
Aluminum Foil,26.8,9.5,0.0,9.14,93.8,10,Avoid
Bagasse (Sugarcane),22.6,3.0,98.5,1.11,68.6,7,Highly Recommended
Edible Seaweed Film,10.2,2.5,100.0,0.38,6.1,4,Consider as Option
Recycled Cardboard,25.4,6.5,99.2,1.0,81.6,5,Highly Recommended
Aluminum Foil,23.3,7.7,0.0,8.92,94.3,10,Avoid
Recycled Cardboard,19.2,9.7,96.5,1.29,91.3,5,Highly Recommended
Bioplastic (PLA),61.8,7.3,83.9,1.57,41.4,9,Highly Recommended
Mushroom Mycelium,17.8,6.4,100.0,0.18,100.0,4,Highly Recommended
Bamboo Fiber,47.2,6.3,98.5,0.84,32.8,6,Highly Recommended
Bagasse (Sugarcane),20.2,6.7,99.8,1.24,57.1,7,Highly Recommended
Bamboo Fiber,48.6,3.2,96.8,0.63,36.2,6,Highly Recommended
Edible Seaweed Film,10.8,8.1,100.0,0.4,2.7,3,Consider as Option
Bamboo Fiber,45.1,2.5,98.2,0.77,32.3,7,Highly Recommended
Virgin Plastic (PP),74.1,1.1,4.3,4.33,14.7,10,Avoid
Recycled Cardboard,24.0,6.0,90.5,1.29,81.1,5,Highly Recommended
Virgin Plastic (PP),88.3,6.0,1.0,4.0,24.3,10,Avoid
Bagasse (Sugarcane),21.8,8.9,98.9,0.99,68.4,6,Highly Recommended
Mushroom Mycelium,23.0,3.3,100.0,0.35,100.0,6,Highly Recommended
Bagasse (Sugarcane),24.8,4.5,98.3,1.38,54.2,5,Highly Recommended
Mushroom Mycelium,18.0,0.8,100.0,0.29,100.0,6,Highly Recommended
Mushroom Mycelium,19.2,2.0,100.0,0.23,100.0,6,Highly Recommended
Bioplastic (PLA),64.4,1.3,81.7,2.05,46.2,8,Consider as Option
Aluminum Foil,32.9,4.5,0.0,8.53,98.6,10,Avoid
Bagasse (Sugarcane),23.8,1.5,98.4,1.07,59.4,6,Highly Recommended
Virgin Plastic (PP),77.7,8.5,1.7,4.24,10.3,10,Avoid
Bagasse (Sugarcane),26.0,4.9,96.8,1.02,66.1,5,Highly Recommended
Mushroom Mycelium,24.8,3.2,100.0,0.33,100.0,5,Highly Recommended
Bagasse (Sugarcane),34.1,3.8,95.1,1.18,61.2,7,Highly Recommended
Mushroom Mycelium,11.2,2.6,100.0,0.2,100.0,6,Highly Recommended
Mushroom Mycelium,12.8,2.6,100.0,0.2,100.0,5,Highly Recommended
Edible Seaweed Film,6.2,1.0,100.0,0.3,3.1,3,Consider as Option
Edible Seaweed Film,6.4,9.7,100.0,0.55,8.9,4,Consider as Option
Mushroom Mycelium,11.7,5.8,100.0,0.18,100.0,5,Highly Recommended
Aluminum Foil,34.7,8.9,0.0,9.95,95.4,10,Avoid
Bamboo Fiber,49.6,1.8,97.2,0.75,48.7,7,Highly Recommended
Edible Seaweed Film,12.0,6.2,100.0,0.23,2.7,2,Consider as Option
Mushroom Mycelium,15.4,6.0,100.0,0.12,100.0,4,Highly Recommended
Bamboo Fiber,46.0,3.2,95.6,0.51,35.1,6,Highly Recommended
Mushroom Mycelium,12.7,7.3,100.0,0.14,100.0,6,Highly Recommended
Mushroom Mycelium,11.4,8.4,100.0,0.15,100.0,6,Highly Recommended
Recycled Cardboard,28.5,3.0,91.0,0.9,82.6,3,Highly Recommended
Mushroom Mycelium,24.0,7.0,100.0,0.24,100.0,4,Highly Recommended
Aluminum Foil,36.7,5.4,0.0,9.57,93.5,10,Avoid
Aluminum Foil,28.2,7.0,0.0,9.2,90.7,10,Avoid
Bamboo Fiber,43.6,6.2,96.4,1.13,37.2,7,Highly Recommended
Aluminum Foil,38.1,8.2,0.0,8.1,92.7,10,Avoid
Bioplastic (PLA),58.9,1.0,80.5,2.45,54.8,8,Consider as Option
Bioplastic (PLA),71.3,4.7,86.4,1.72,51.5,8,Highly Recommended
Mushroom Mycelium,21.2,2.1,100.0,0.17,100.0,4,Highly Recommended
Aluminum Foil,26.5,6.6,0.0,9.75,96.2,10,Avoid
Bamboo Fiber,42.5,3.7,98.4,0.7,44.9,6,Highly Recommended
Recycled Cardboard,15.3,9.8,99.9,1.05,96.8,4,Highly Recommended
Bioplastic (PLA),72.1,1.2,94.7,2.36,56.1,8,Highly Recommended
Bamboo Fiber,57.2,7.2,95.7,0.5,37.1,8,Highly Recommended
Bagasse (Sugarcane),23.4,6.5,100.0,1.21,59.8,5,Highly Recommended
Bagasse (Sugarcane),28.4,2.9,98.7,1.24,67.6,5,Highly Recommended
Mushroom Mycelium,16.2,4.0,100.0,0.18,100.0,6,Highly Recommended
Bamboo Fiber,54.9,5.8,95.5,1.05,33.0,8,Highly Recommended
Bagasse (Sugarcane),26.1,10.0,97.3,1.17,54.3,5,Highly Recommended
Bioplastic (PLA),63.0,1.0,85.1,2.15,58.1,9,Highly Recommended
Recycled Cardboard,32.1,6.7,90.9,0.83,93.1,3,Highly Recommended
Bagasse (Sugarcane),29.7,8.8,99.6,1.21,68.6,5,Highly Recommended
Mushroom Mycelium,19.5,9.4,100.0,0.14,100.0,5,Highly Recommended
Edible Seaweed Film,11.8,4.2,100.0,0.22,7.4,3,Consider as Option
Edible Seaweed Film,11.8,1.7,100.0,0.55,2.8,4,Consider as Option
Bamboo Fiber,43.7,4.5,95.9,1.18,30.0,7,Highly Recommended
Bagasse (Sugarcane),21.8,7.3,95.6,1.37,52.0,6,Highly Recommended
Bioplastic (PLA),54.6,3.7,92.9,2.18,52.0,8,Highly Recommended
Bioplastic (PLA),58.1,5.1,90.2,1.64,46.9,8,Highly Recommended
Virgin Plastic (PP),69.0,3.6,2.3,4.18,18.6,10,Avoid
Bioplastic (PLA),62.6,5.4,86.8,1.87,41.1,8,Consider as Option
Bamboo Fiber,53.2,2.7,97.9,0.6,41.3,6,Highly Recommended
Edible Seaweed Film,9.3,1.7,100.0,0.57,6.8,3,Consider as Option
Virgin Plastic (PP),77.7,8.5,1.7,4.24,10.3,10,Avoid
Bamboo Fiber,42.8,3.3,96.5,1.15,35.3,8,Highly Recommended
Recycled Cardboard,35.0,9.2,94.6,1.04,87.9,3,Highly Recommended
Mushroom Mycelium,16.3,7.5,100.0,0.38,100.0,6,Highly Recommended
Bagasse (Sugarcane),33.7,1.4,96.3,1.07,56.3,7,Highly Recommended
Virgin Plastic (PP),76.0,0.7,3.0,4.1,12.3,10,Avoid
Aluminum Foil,43.2,7.9,0.0,9.52,93.1,10,Avoid
Edible Seaweed Film,12.4,6.0,100.0,0.58,6.5,2,Consider as Option
Aluminum Foil,31.2,9.6,0.0,11.67,92.7,10,Avoid
Aluminum Foil,37.5,4.8,0.0,10.47,93.5,10,Avoid
Recycled Cardboard,15.1,4.8,90.6,1.12,81.0,5,Highly Recommended
Mushroom Mycelium,21.4,4.0,100.0,0.15,100.0,5,Highly Recommended
Recycled Cardboard,24.7,7.9,95.9,1.09,83.8,4,Highly Recommended
Bamboo Fiber,44.9,5.3,95.5,1.09,36.6,8,Highly Recommended
Recycled Cardboard,27.0,2.5,92.7,1.25,92.6,3,Highly Recommended
Mushroom Mycelium,12.1,4.6,100.0,0.33,100.0,6,Highly Recommended
Recycled Cardboard,29.0,9.5,93.2,1.02,95.7,4,Highly Recommended
Edible Seaweed Film,8.4,6.6,100.0,0.2,8.3,2,Consider as Option
Recycled Cardboard,19.3,8.3,97.8,1.31,98.3,3,Highly Recommended
Mushroom Mycelium,17.0,4.4,100.0,0.2,100.0,5,Highly Recommended
Edible Seaweed Film,12.8,9.3,100.0,0.39,2.4,3,Consider as Option
Bagasse (Sugarcane),32.7,9.3,98.9,1.34,69.0,6,Highly Recommended
Recycled Cardboard,28.0,8.9,94.9,1.26,83.6,4,Highly Recommended
Bagasse (Sugarcane),22.4,0.7,96.5,1.2,63.2,5,Highly Recommended
Bioplastic (PLA),54.5,3.7,80.5,2.33,57.5,9,Highly Recommended
Bioplastic (PLA),53.6,6.1,82.4,2.48,55.9,8,Consider as Option
Bagasse (Sugarcane),32.8,2.0,98.8,1.28,57.1,7,Highly Recommended
Recycled Cardboard,22.1,3.2,99.1,0.86,98.0,5,Highly Recommended
Aluminum Foil,37.9,7.1,0.0,11.68,94.3,10,Avoid
Bagasse (Sugarcane),23.0,4.6,98.9,1.36,54.1,7,Highly Recommended
Edible Seaweed Film,9.5,3.4,100.0,0.44,1.5,3,Consider as Option
Bagasse (Sugarcane),34.5,2.8,96.5,1.31,57.4,5,Highly Recommended
Bioplastic (PLA),57.3,1.6,87.2,2.4,43.4,8,Consider as Option
Bamboo Fiber,58.8,2.9,96.5,0.64,45.8,6,Highly Recommended
Recycled Cardboard,24.0,3.8,97.1,1.29,93.1,4,Highly Recommended
Recycled Cardboard,23.9,0.8,97.6,1.3,92.7,4,Highly Recommended
Edible Seaweed Film,7.0,2.6,100.0,0.37,4.2,3,Consider as Option
Bagasse (Sugarcane),31.5,5.3,97.3,1.18,64.7,7,Highly Recommended
Bioplastic (PLA),63.4,3.2,80.1,1.53,44.5,8,Consider as Option
Bagasse (Sugarcane),39.7,4.3,95.2,1.11,69.0,6,Highly Recommended
Bioplastic (PLA),57.5,4.9,83.7,1.61,53.8,9,Highly Recommended
Bamboo Fiber,42.3,9.5,99.0,0.66,38.3,8,Highly Recommended
Virgin Plastic (PP),62.5,8.9,3.2,3.84,16.8,10,Avoid
Aluminum Foil,39.4,8.7,0.0,10.66,93.6,10,Avoid
Bagasse (Sugarcane),23.6,5.9,95.2,1.37,68.6,5,Highly Recommended
Edible Seaweed Film,6.7,8.0,100.0,0.59,3.6,2,Consider as Option
Aluminum Foil,39.0,5.1,0.0,9.77,96.0,10,Avoid
Edible Seaweed Film,11.6,3.7,100.0,0.44,7.7,3,Consider as Option
Virgin Plastic (PP),75.7,5.8,2.0,5.59,11.2,10,Avoid
Mushroom Mycelium,12.3,5.9,100.0,0.25,100.0,5,Highly Recommended
Virgin Plastic (PP),61.4,6.7,3.4,4.11,17.9,10,Avoid
Bagasse (Sugarcane),25.1,2.0,98.5,1.17,57.9,7,Highly Recommended
Virgin Plastic (PP),60.5,6.2,0.3,5.18,19.5,10,Avoid
Aluminum Foil,31.7,2.8,0.0,10.2,97.6,10,Avoid
Bioplastic (PLA),68.7,2.6,88.3,2.34,46.2,8,Consider as Option
Edible Seaweed Film,12.4,4.2,100.0,0.33,3.5,2,Consider as Option
Bioplastic (PLA),74.9,0.9,83.2,1.98,44.9,8,Consider as Option
Recycled Cardboard,21.6,6.5,94.0,1.28,91.9,4,Highly Recommended
Edible Seaweed Film,5.4,2.9,100.0,0.45,0.0,4,Consider as Option
Mushroom Mycelium,11.2,2.6,100.0,0.2,100.0,6,Highly Recommended
Edible Seaweed Film,7.3,3.7,100.0,0.25,4.5,3,Consider as Option
Mushroom Mycelium,11.7,5.2,100.0,0.28,100.0,4,Highly Recommended
Edible Seaweed Film,5.7,3.0,100.0,0.39,5.6,3,Consider as Option
Recycled Cardboard,28.9,0.6,99.0,1.02,98.1,4,Highly Recommended
Edible Seaweed Film,9.3,2.1,100.0,0.5,5.4,4,Consider as Option
Recycled Cardboard,24.2,3.7,91.7,1.08,89.5,5,Highly Recommended
Edible Seaweed Film,13.1,6.6,100.0,0.38,6.9,2,Consider as Option
Bamboo Fiber,43.7,7.7,97.7,0.76,42.7,7,Highly Recommended
Edible Seaweed Film,7.7,4.9,100.0,0.32,10.0,2,Consider as Option
Virgin Plastic (PP),77.5,2.6,0.2,4.97,22.8,10,Avoid
Virgin Plastic (PP),70.1,4.6,1.8,4.24,12.0,10,Avoid
Virgin Plastic (PP),71.3,5.0,2.8,3.99,20.4,10,Avoid
Mushroom Mycelium,11.4,8.4,100.0,0.15,100.0,6,Highly Recommended
Bioplastic (PLA),68.8,3.7,92.6,2.12,54.4,8,Highly Recommended
Edible Seaweed Film,14.5,3.0,100.0,0.58,6.6,3,Consider as Option
Aluminum Foil,25.0,1.8,0.0,9.82,95.1,10,Avoid
Bioplastic (PLA),71.5,6.6,88.7,1.93,48.3,9,Highly Recommended
Bamboo Fiber,46.7,9.7,99.0,0.51,32.3,6,Highly Recommended
Recycled Cardboard,16.7,2.8,90.1,0.98,82.9,3,Highly Recommended
Bioplastic (PLA),57.2,9.4,90.4,1.65,50.3,9,Highly Recommended
Virgin Plastic (PP),64.3,0.7,2.0,5.55,23.7,10,Avoid
Virgin Plastic (PP),82.6,6.4,1.8,3.81,14.7,10,Avoid
Mushroom Mycelium,20.6,0.7,100.0,0.13,100.0,6,Highly Recommended
Bamboo Fiber,51.0,8.9,98.4,0.59,47.0,7,Highly Recommended
Mushroom Mycelium,23.1,7.4,100.0,0.23,100.0,4,Highly Recommended
Bamboo Fiber,43.7,7.2,95.1,1.13,47.5,7,Highly Recommended
Virgin Plastic (PP),73.0,8.7,0.6,5.04,29.6,10,Avoid
Mushroom Mycelium,18.6,2.9,100.0,0.32,100.0,5,Highly Recommended
Bamboo Fiber,58.7,8.0,97.2,0.91,40.3,8,Highly Recommended
Bagasse (Sugarcane),28.6,9.0,98.9,1.14,62.4,7,Highly Recommended
Virgin Plastic (PP),80.3,1.5,2.1,4.27,21.1,10,Avoid
Edible Seaweed Film,10.8,2.6,100.0,0.44,7.1,4,Consider as Option
Edible Seaweed Film,11.1,3.5,100.0,0.21,5.7,3,Consider as Option
Aluminum Foil,26.6,9.6,0.0,9.1,92.3,10,Avoid
Virgin Plastic (PP),75.8,1.7,4.2,4.48,20.5,10,Avoid
Aluminum Foil,29.7,3.3,0.0,11.16,93.8,10,Avoid
Virgin Plastic (PP),75.0,9.0,0.2,4.9,26.9,10,Avoid
Edible Seaweed Film,9.3,1.7,100.0,0.57,6.8,3,Consider as Option
Bamboo Fiber,57.4,2.8,99.0,0.55,48.1,7,Highly Recommended
Aluminum Foil,25.6,3.2,0.0,9.59,93.8,10,Avoid
Bamboo Fiber,54.1,5.2,95.6,0.6,36.4,6,Highly Recommended
Edible Seaweed Film,8.8,5.6,100.0,0.35,0.7,2,Consider as Option
Recycled Cardboard,33.0,9.4,98.3,0.87,90.3,4,Highly Recommended
Bamboo Fiber,51.3,7.1,96.9,0.74,49.7,6,Highly Recommended
Aluminum Foil,40.0,7.9,0.0,11.08,97.5,10,Avoid
Bagasse (Sugarcane),24.6,2.7,97.3,1.0,68.6,6,Highly Recommended
Virgin Plastic (PP),69.0,10.0,4.2,5.61,28.4,10,Avoid
Bioplastic (PLA),72.8,3.3,91.3,2.31,56.9,9,Highly Recommended
Bioplastic (PLA),74.0,8.0,93.2,2.01,56.6,8,Highly Recommended
Virgin Plastic (PP),72.4,7.4,2.5,4.07,10.6,10,Avoid
Virgin Plastic (PP),60.3,9.2,4.3,4.38,21.1,10,Avoid
Mushroom Mycelium,16.2,3.3,100.0,0.11,100.0,5,Highly Recommended
Bagasse (Sugarcane),26.8,0.7,95.1,1.26,64.0,7,Highly Recommended
Virgin Plastic (PP),62.4,5.6,1.4,4.88,19.8,10,Avoid
Bamboo Fiber,56.4,6.1,99.4,1.19,31.6,7,Highly Recommended
Virgin Plastic (PP),81.9,1.4,0.2,4.08,16.5,10,Avoid
Virgin Plastic (PP),86.0,5.8,5.0,5.79,22.6,10,Avoid
Bioplastic (PLA),74.9,3.9,92.1,2.03,45.0,8,Highly Recommended
Bagasse (Sugarcane),38.3,7.7,99.5,1.09,60.3,5,Highly Recommended
Bamboo Fiber,59.6,4.9,98.6,0.85,47.4,8,Highly Recommended
Aluminum Foil,29.9,9.0,0.0,8.78,99.1,10,Avoid
Mushroom Mycelium,22.8,9.5,100.0,0.17,100.0,5,Highly Recommended
Recycled Cardboard,25.1,8.0,92.0,1.38,97.5,5,Highly Recommended
Bagasse (Sugarcane),35.5,1.0,99.1,1.37,60.7,5,Highly Recommended
Bagasse (Sugarcane),33.7,1.4,96.3,1.07,56.3,7,Highly Recommended
Bamboo Fiber,55.9,9.7,98.9,1.04,47.4,7,Highly Recommended
Bioplastic (PLA),56.6,7.9,82.7,1.9,57.6,9,Highly Recommended
Bioplastic (PLA),72.9,5.5,83.9,2.09,50.5,9,Highly Recommended
Bamboo Fiber,56.1,9.9,98.7,0.83,35.2,7,Highly Recommended
Edible Seaweed Film,10.1,2.7,100.0,0.24,2.6,4,Consider as Option
Mushroom Mycelium,11.4,7.9,100.0,0.39,100.0,5,Highly Recommended
Edible Seaweed Film,13.2,5.0,100.0,0.22,4.5,3,Consider as Option
Aluminum Foil,35.1,6.7,0.0,11.77,95.6,10,Avoid
Bamboo Fiber,51.4,2.4,98.3,1.18,36.9,7,Highly Recommended
Aluminum Foil,40.0,6.2,0.0,8.62,92.0,10,Avoid
Edible Seaweed Film,14.8,3.1,100.0,0.37,7.0,2,Consider as Option
Mushroom Mycelium,16.6,5.5,100.0,0.11,100.0,5,Highly Recommended
Bagasse (Sugarcane),31.5,5.3,97.3,1.18,64.7,7,Highly Recommended
Bamboo Fiber,55.1,8.0,98.7,0.5,42.6,8,Highly Recommended
Virgin Plastic (PP),82.4,6.5,0.9,4.64,16.6,10,Avoid
Edible Seaweed Film,5.6,5.3,100.0,0.58,7.9,3,Consider as Option
Edible Seaweed Film,10.7,0.5,100.0,0.5,1.0,4,Consider as Option
Bamboo Fiber,49.3,2.9,95.6,1.07,40.3,8,Highly Recommended
Bioplastic (PLA),50.2,4.5,91.7,2.28,44.6,8,Highly Recommended
Aluminum Foil,20.3,1.6,0.0,10.86,92.2,10,Avoid
Bagasse (Sugarcane),33.5,2.4,99.1,1.33,50.1,6,Highly Recommended
Edible Seaweed Film,12.3,3.6,100.0,0.4,5.7,2,Consider as Option
Virgin Plastic (PP),69.9,9.0,4.0,4.19,14.5,10,Avoid
Mushroom Mycelium,19.2,4.9,100.0,0.39,100.0,4,Highly Recommended
Bioplastic (PLA),50.2,1.5,91.3,1.83,53.5,8,Highly Recommended
Bagasse (Sugarcane),28.6,9.3,98.5,1.26,63.4,7,Highly Recommended
Edible Seaweed Film,7.3,0.6,100.0,0.36,5.3,3,Consider as Option
Edible Seaweed Film,10.1,4.4,100.0,0.44,1.7,4,Consider as Option
Bagasse (Sugarcane),34.9,4.0,97.4,1.35,55.5,6,Highly Recommended
Bamboo Fiber,42.3,6.6,98.6,1.11,48.3,8,Highly Recommended
Bamboo Fiber,53.9,6.1,98.0,1.15,32.4,7,Highly Recommended
Recycled Cardboard,31.3,5.1,94.5,1.23,82.0,4,Highly Recommended
Edible Seaweed Film,5.7,3.0,100.0,0.39,5.6,3,Consider as Option
Edible Seaweed Film,11.8,1.6,100.0,0.38,1.9,3,Consider as Option
Recycled Cardboard,25.7,2.2,95.5,1.13,94.2,4,Highly Recommended
Virgin Plastic (PP),87.8,5.4,5.0,4.71,25.4,10,Avoid
Bagasse (Sugarcane),30.1,6.7,96.5,1.31,67.7,6,Highly Recommended
Recycled Cardboard,25.6,2.4,93.8,0.87,97.4,3,Highly Recommended
Mushroom Mycelium,16.4,8.2,100.0,0.27,100.0,5,Highly Recommended
Bioplastic (PLA),68.6,4.9,87.8,2.19,49.2,8,Highly Recommended
Bioplastic (PLA),64.9,9.6,92.4,1.64,54.1,9,Highly Recommended
Recycled Cardboard,25.7,2.2,95.5,1.13,94.2,4,Highly Recommended
Edible Seaweed Film,14.9,6.2,100.0,0.31,9.2,4,Consider as Option
Bamboo Fiber,58.1,2.7,99.5,0.94,47.8,6,Highly Recommended
Bamboo Fiber,48.8,8.3,98.4,1.13,42.4,7,Highly Recommended
Bioplastic (PLA),53.7,0.6,90.3,1.59,50.1,8,Highly Recommended
Edible Seaweed Film,6.2,7.5,100.0,0.24,3.1,4,Consider as Option
Bagasse (Sugarcane),27.5,4.0,96.6,1.25,54.4,6,Highly Recommended
Mushroom Mycelium,18.6,3.8,100.0,0.3,100.0,4,Highly Recommended
Bagasse (Sugarcane),33.5,2.4,99.1,1.33,50.1,6,Highly Recommended
Bagasse (Sugarcane),25.5,0.9,95.9,1.05,59.9,7,Highly Recommended
Mushroom Mycelium,12.3,5.9,100.0,0.25,100.0,5,Highly Recommended
Bagasse (Sugarcane),26.3,6.3,99.0,0.92,51.7,5,Highly Recommended
Bioplastic (PLA),66.3,1.7,84.9,2.16,50.8,8,Consider as Option
Recycled Cardboard,27.6,6.5,95.6,1.0,80.8,5,Highly Recommended
Recycled Cardboard,32.1,6.7,90.9,0.83,93.1,3,Highly Recommended
Bagasse (Sugarcane),20.8,4.5,99.7,1.35,50.7,6,Highly Recommended
Edible Seaweed Film,5.6,1.4,100.0,0.46,2.2,2,Consider as Option
Aluminum Foil,37.2,4.7,0.0,11.65,96.2,10,Avoid
Mushroom Mycelium,14.5,2.3,100.0,0.15,100.0,6,Highly Recommended
Bamboo Fiber,45.1,2.5,98.2,0.77,32.3,7,Highly Recommended
Bagasse (Sugarcane),30.0,6.1,99.4,1.04,59.6,6,Highly Recommended
Bagasse (Sugarcane),24.6,9.7,95.3,1.26,58.2,6,Highly Recommended
Bagasse (Sugarcane),28.1,3.7,95.7,0.95,54.8,5,Highly Recommended
Bioplastic (PLA),67.7,6.7,80.3,2.02,47.7,8,Consider as Option
Bagasse (Sugarcane),31.2,1.0,99.9,1.38,53.8,6,Highly Recommended
Bagasse (Sugarcane),33.3,7.9,98.6,1.2,53.4,5,Highly Recommended
Bamboo Fiber,59.6,9.3,99.5,0.69,48.3,7,Highly Recommended
Aluminum Foil,26.9,7.7,0.0,8.75,93.0,10,Avoid
Recycled Cardboard,31.2,2.1,95.1,0.94,80.5,5,Highly Recommended
Bamboo Fiber,58.1,8.8,96.8,0.74,47.2,6,Highly Recommended
Aluminum Foil,37.3,0.5,0.0,11.06,97.8,10,Avoid
Bioplastic (PLA),71.1,3.2,86.3,2.05,40.6,8,Consider as Option
Edible Seaweed Film,8.7,4.6,100.0,0.54,0.3,2,Consider as Option
Bamboo Fiber,54.8,1.1,96.5,0.83,47.0,6,Highly Recommended
Bamboo Fiber,57.3,7.4,96.8,1.08,33.4,7,Highly Recommended
Edible Seaweed Film,10.2,1.1,100.0,0.33,2.7,3,Consider as Option
Aluminum Foil,27.8,8.1,0.0,8.53,95.8,10,Avoid
Bioplastic (PLA),67.6,0.7,84.3,2.45,45.2,8,Consider as Option
Edible Seaweed Film,8.5,2.0,100.0,0.44,2.2,3,Consider as Option
Mushroom Mycelium,18.1,9.9,100.0,0.35,100.0,4,Highly Recommended
Virgin Plastic (PP),61.3,4.7,2.0,5.9,16.8,10,Avoid
Bioplastic (PLA),58.2,8.7,92.4,1.8,42.8,9,Highly Recommended
Bioplastic (PLA),72.8,9.8,91.2,2.39,56.5,8,Highly Recommended
Bamboo Fiber,59.9,5.4,95.3,1.07,40.3,8,Highly Recommended
Bioplastic (PLA),66.7,5.4,85.3,1.71,54.4,9,Highly Recommended
Mushroom Mycelium,21.4,7.5,100.0,0.26,100.0,4,Highly Recommended
Aluminum Foil,36.1,5.9,0.0,8.71,94.8,10,Avoid
Edible Seaweed Film,10.1,4.4,100.0,0.44,1.7,4,Consider as Option
Edible Seaweed Film,13.2,1.8,100.0,0.45,6.5,2,Consider as Option
Bamboo Fiber,46.8,9.8,99.3,0.5,35.2,7,Highly Recommended
Virgin Plastic (PP),82.2,5.8,0.1,5.12,26.2,10,Avoid
Edible Seaweed Film,10.4,2.5,100.0,0.59,9.8,2,Consider as Option
Virgin Plastic (PP),64.3,0.7,2.0,5.55,23.7,10,Avoid
Aluminum Foil,36.6,2.6,0.0,8.56,97.2,10,Avoid
Edible Seaweed Film,6.0,5.1,100.0,0.32,9.7,3,Consider as Option
Mushroom Mycelium,12.8,5.9,100.0,0.27,100.0,5,Highly Recommended
Mushroom Mycelium,19.2,2.0,100.0,0.23,100.0,6,Highly Recommended
Bamboo Fiber,52.2,3.0,98.9,0.95,42.8,6,Highly Recommended
Bioplastic (PLA),50.8,1.9,81.6,1.75,49.5,8,Consider as Option
Aluminum Foil,36.7,8.5,0.0,8.19,95.6,10,Avoid
Bioplastic (PLA),68.6,1.6,85.8,1.64,47.2,9,Highly Recommended
Edible Seaweed Film,14.3,9.0,100.0,0.3,5.7,4,Consider as Option
Mushroom Mycelium,10.5,7.6,100.0,0.12,100.0,4,Highly Recommended
Aluminum Foil,28.8,5.0,0.0,11.43,95.3,10,Avoid
Bagasse (Sugarcane),32.9,7.9,97.8,0.98,52.5,7,Highly Recommended
Virgin Plastic (PP),60.2,6.5,4.7,4.16,16.0,10,Avoid
Edible Seaweed Film,10.3,3.1,100.0,0.51,3.0,3,Consider as Option
Virgin Plastic (PP),76.5,1.1,2.0,4.16,16.8,10,Avoid
Edible Seaweed Film,11.3,1.3,100.0,0.39,5.3,2,Consider as Option
