material_type,strength,weight_capacity,biodegradability_score,recyclability_percent,co2_emission_score,product_category,typical_weight,fragility_level,shape,material,recycling,weight,co2_impact_index,cost,cost_efficiency_index,material_suitability_score,final_sustainability_index
Cassava Biopolymer,73,17,40,59,5.52,Fragile Goods,1.31,Medium,bottle,glass,recycle,24.96,0.15337423312883436,48.8,0.020080321285140562,36.6,36.77345455441398
Bamboo Fiber,48,20,90,40,9.5,Clothing,2.37,Medium,bottle,paper,recycle,14.69,0.09523809523809523,43.31,0.022568269013766643,34.4,34.51780636425186
PLA Bioplastic,92,9,37,95,31.22,Cosmetics,1.43,Low,bottle,glass,recycle,26.53,0.031036623215394167,44.89,0.021791239921551537,51.3,51.352827863136945
Areca Leaf Sheath,58,28,88,89,23.78,Cosmetics,2.12,Low,box,glass,compost,20.77,0.04035512510088781,41.38,0.023596035865974516,44.4,44.46395116096686
Wheat Straw Fiber,45,28,43,55,34.82,Stationery,2.98,Low,box,metal,reuse,16.79,0.027917364600781685,44.7,0.02188183807439825,24.700000000000003,24.749799202675185
Cornstarch Polymer,81,20,87,77,14.12,Beverages,2.15,High,can,paper,compost,21.94,0.06613756613756615,44.31,0.022070183182520412,51.1,51.188207749320085
Palm Leaf Material,46,8,62,100,20.09,Home Decor,1.47,Low,bottle,glass,recycle,19.34,0.0474158368895211,23.88,0.04019292604501608,43.800000000000004,43.88760876293454
Jute Fiber,69,9,82,56,17.74,Clothing,2.23,Low,box,paper,reuse,26.62,0.05336179295624333,36.13,0.026932399676811204,45.6,45.680294192633056
Jute Fiber,65,26,37,65,6.27,Beverages,0.4,Medium,box,glass,reuse,30.61,0.13755158184319122,45.92,0.021312872975277068,32.1,32.25886445481847
Cornstarch Polymer,54,17,45,74,31.63,Food,2.2,Low,box,metal,recycle,21.96,0.03064664419246093,37.94,0.02568053415511043,34.9,34.956327178347564
Algae Bioplastic,75,27,60,97,14.57,Stationery,2.24,High,box,paper,reuse,19.11,0.06422607578676942,45.29,0.02160293799956794,45.800000000000004,45.88582901378634
Recycled Paper,81,4,58,84,13.87,Home Decor,2.38,Low,bottle,paper,compost,28.01,0.06724949562878278,36.17,0.026903416733925208,51.5,51.5941529123627
Bamboo Fiber,62,17,90,48,33.97,Clothing,2.62,High,bottle,metal,compost,18.98,0.028595939376608523,45.41,0.021547080370609786,41.099999999999994,41.15014301974721
Recycled Cardboard,80,16,97,41,22.82,Stationery,0.98,Medium,box,plastic,compost,17.37,0.041981528127623846,48.47,0.02021427127552052,46.80000000000001,46.86219579940315
Sugarcane Bagasse,93,8,90,96,9.47,Cosmetics,1.77,High,pouch,glass,compost,26.15,0.09551098376313276,38.86,0.02508780732563974,62.699999999999996,62.82059879108877
Coconut Coir,85,5,93,85,26.64,Electronics,0.99,Medium,can,glass,reuse,24.2,0.0361794500723589,40.88,0.02387774594078319,59.6,59.66005719601314
Jute Fiber,94,18,56,72,15.32,Food,0.51,Medium,bottle,plastic,compost,17.43,0.061274509803921566,45.9,0.021321961620469083,48.4,48.482596471424394
Bamboo Fiber,64,4,69,81,34.12,Beverages,2.51,Medium,bottle,paper,reuse,21.57,0.028473804100227793,33.67,0.028843380444188056,48,48.05731718454442
Jute Fiber,62,29,33,47,25.65,Baby Products,2.66,Medium,pouch,paper,recycle,18.28,0.0375234521575985,51.96,0.0188821752265861,25.900000000000002,25.956405627384186
Recycled Paper,52,22,99,91,19.71,Baby Products,2.41,High,bottle,metal,compost,23.02,0.048285852245292124,33.22,0.029222676797194622,46.99999999999999,47.07750852904248
Wheat Straw Fiber,91,7,87,98,32.75,Toys,0.55,High,pouch,metal,recycle,22.52,0.02962962962962963,37.71,0.025833118057349523,62.20000000000001,62.25546274768699
Paper Pulp Mold,49,20,94,76,22.51,Healthcare,0.8,Low,pouch,metal,compost,13.61,0.042535091450446615,37.44,0.026014568158168577,42.7,42.76854965960862
Biodegradable Foam,86,29,59,77,20.85,Baby Products,2.5,High,box,plastic,recycle,20.21,0.04576659038901602,48.58,0.02016942315449778,44.3,44.36593601354351
Recycled Paper,57,28,34,44,28.53,Industrial Parts,0.29,Medium,bottle,plastic,recycle,12.58,0.033863867253640365,51.2,0.019157088122605363,24.300000000000004,24.35302095537625
Cornstarch Polymer,91,15,95,64,13.32,Fragile Goods,2.53,Low,can,paper,recycle,12.89,0.06983240223463687,45.65,0.021436227224008574,54.599999999999994,54.69126862945864
Recycled Paper,52,25,33,66,7.25,Beverages,1.35,High,pouch,metal,recycle,17.53,0.12121212121212122,43.81,0.02231644722160232,27.9,28.04352856843372
Bamboo Fiber,41,11,83,75,14.12,Industrial Parts,1.65,Low,can,paper,recycle,17.02,0.06613756613756615,36.23,0.026860059092130004,40.6,40.692997625229694
Coconut Coir,45,19,73,69,10.01,Baby Products,1.93,Low,box,plastic,reuse,11.45,0.09082652134423251,32.62,0.0297441998810232,36.2,36.32057072122526
Palm Leaf Material,76,25,91,81,20.52,Electronics,0.52,High,bottle,glass,reuse,14.07,0.04646840148698885,47.75,0.020512820512820513,49.7,49.766981221999814
Algae Bioplastic,73,24,36,61,14.72,Clothing,2.69,Medium,box,paper,compost,12.29,0.06361323155216285,45.99,0.021281123643328365,34.099999999999994,34.18489435519548
Recycled Paper,58,28,83,47,28.38,Food,2.83,Low,box,plastic,reuse,16.29,0.03403675970047652,52.96,0.018532246108228317,35,35.05256900580871
Eco-Foam Starch,57,21,71,83,26.42,Electronics,1.68,Medium,can,metal,recycle,22.63,0.03646973012399708,34.85,0.02789400278940028,41.6,41.6643637329134
Biodegradable Foam,66,12,46,61,19.55,Home Decor,2.51,High,can,glass,reuse,27.38,0.048661800486618,42,0.023255813953488372,37.6,37.67191761444011
Areca Leaf Sheath,90,19,47,46,26.21,Healthcare,2.05,Medium,pouch,glass,reuse,25.29,0.036751194413818446,52.3,0.01876172607879925,39.9,39.955512920492616
Palm Leaf Material,59,26,81,67,30.86,Stationery,1.98,Medium,bottle,glass,recycle,22.17,0.031387319522912745,44.77,0.021848372296263928,39.5,39.553235691819175
Recycled HDPE,93,22,92,46,7.7,Stationery,0.31,High,box,metal,reuse,21.89,0.1149425287356322,52.38,0.018733608092918696,48.9,49.03367613682855
Jute Fiber,78,13,33,97,32.22,Beverages,1.98,Medium,pouch,glass,recycle,19.47,0.030102347983142687,41.19,0.023702299123014935,45.50000000000001,45.55380464710617
PLA Bioplastic,51,11,78,83,34.45,Beverages,1.2,Low,pouch,plastic,reuse,19.5,0.028208744710860365,30.13,0.032123353678123995,44.2,44.260332098388986
Bamboo Fiber,57,5,66,62,30.15,Clothing,1.34,Low,box,paper,recycle,26.92,0.03210272873194222,36.87,0.02640612622128334,41.199999999999996,41.25850885495322
Algae Bioplastic,74,10,75,99,6.62,Clothing,1.64,Low,box,glass,compost,23.09,0.13123359580052493,32.03,0.030275507114744173,54,54.16150910291527
Paper Pulp Mold,87,14,87,91,33.52,Food,0.64,Medium,pouch,glass,reuse,21,0.028968713789107762,42.91,0.02277385561375541,57.5,57.55174256940286
Cassava Biopolymer,79,7,66,59,30.15,Clothing,1.75,Low,box,plastic,compost,11.22,0.03210272873194222,43.86,0.02229157378510923,46.6,46.654394302517055
Bamboo Fiber,95,11,37,62,13.23,Clothing,1.24,Low,box,metal,recycle,23.64,0.07027406886858749,45.64,0.02144082332761578,45,45.0917148921962
Paper Pulp Mold,65,18,81,48,7.28,Clothing,1.1,Low,can,glass,recycle,23.71,0.12077294685990336,45.26,0.021616947686986597,39.900000000000006,40.04238989454689
Jute Fiber,81,22,46,91,22.42,Food,2.35,High,bottle,plastic,compost,16.9,0.04269854824935952,48.93,0.02002803925495694,45.1,45.162726587504324
Recycled Cardboard,85,9,89,40,24.53,Healthcare,1.19,Medium,pouch,plastic,recycle,21.13,0.03916960438699569,47.12,0.020781379883624274,48.599999999999994,48.659950984270615
Recycled HDPE,50,10,93,76,10.79,Baby Products,2.08,Low,box,metal,recycle,19.33,0.08481764206955048,34.39,0.02825656965244419,45.800000000000004,45.913074211722
Wheat Straw Fiber,86,10,100,90,22.08,Stationery,2.49,High,pouch,metal,recycle,17.31,0.043327556325823226,44.5,0.02197802197802198,60.8,60.86530557830384
Coconut Coir,94,30,90,79,6.84,Food,0.11,Low,bottle,paper,recycle,22.05,0.12755102040816327,50.64,0.019364833462432222,53,53.146915853870595
Mushroom Packaging,47,7,95,45,27.13,Stationery,2.68,High,pouch,glass,recycle,14.6,0.03554923569143264,31.95,0.030349013657056143,40,40.06589824934849
Cornstarch Polymer,49,8,42,59,7.5,Home Decor,2.98,Low,pouch,paper,recycle,30.19,0.11764705882352941,33.56,0.028935185185185182,32.50000000000001,32.64658224400872
Algae Bioplastic,63,27,75,84,17.29,Fragile Goods,2.91,Medium,pouch,plastic,recycle,22.66,0.05467468562055768,40.69,0.023986567522187575,42.6,42.67866125314274
Recycled HDPE,41,19,42,62,19.8,Stationery,2.54,High,can,glass,recycle,19.45,0.04807692307692307,41.99,0.02326122354035822,27.400000000000002,27.471338146617285
Mushroom Packaging,80,22,96,90,30.53,Industrial Parts,1.18,Medium,bottle,plastic,compost,24.79,0.03171582619727244,45.16,0.021663778162911613,54.6,54.65337960436018
Recycled PET Blend,61,22,39,48,28.49,Electronics,1.73,Low,bottle,plastic,reuse,23.92,0.0339097999321804,45.14,0.021673168617251843,29.1,29.15558296854943
Mushroom Packaging,47,7,95,45,27.13,Stationery,2.68,High,pouch,plastic,recycle,16.28,0.03554923569143264,32.87,0.02952465308532625,40,40.06507388877676
Wheat Straw Fiber,40,30,66,85,21.27,Fragile Goods,1.98,Low,pouch,metal,compost,17.47,0.0449034575662326,40.4,0.024154589371980676,33.2,33.26905804693822
Cornstarch Polymer,65,23,48,49,25.47,Food,1.75,Low,bottle,metal,recycle,8.56,0.037778617302606725,47.03,0.020820320632937747,32.00000000000001,32.05859893793555
Mushroom Packaging,56,20,32,93,6.68,Healthcare,1.58,High,box,glass,reuse,14.64,0.13020833333333334,34,0.02857142857142857,35.800000000000004,35.95877976190477
Jute Fiber,53,29,95,89,21.87,Beverages,1.03,High,can,plastic,recycle,23.33,0.043725404459991256,42.65,0.02290950744558992,44,44.06663491190558
PLA Bioplastic,92,9,37,95,31.22,Cosmetics,1.43,Low,bottle,plastic,compost,20.92,0.031036623215394167,39.77,0.02452783909737552,51.3,51.35556446231276
Biodegradable Foam,47,20,55,69,7.6,Toys,0.64,High,pouch,glass,compost,17.53,0.11627906976744186,35.92,0.027085590465872156,32.900000000000006,33.04336466023332
Biodegradable Foam,66,12,46,61,19.55,Home Decor,2.51,High,box,paper,reuse,21.74,0.048661800486618,40.51,0.02409058058299205,37.6,37.672752381069614
PLA Bioplastic,65,23,54,79,16.26,Baby Products,0.24,Medium,box,plastic,recycle,17.34,0.057937427578215524,43.88,0.022281639928698752,39.2,39.28021906750692
Recycled Cardboard,64,19,94,45,13.27,Beverages,0.35,Low,box,metal,compost,12.75,0.0700770847932726,47.8,0.020491803278688527,41.3,41.39056888807196
Sugarcane Bagasse,93,8,90,96,9.47,Cosmetics,1.77,High,can,paper,reuse,15.27,0.09551098376313276,37.99,0.025647601949217745,62.699999999999996,62.82115858571235
Jute Fiber,78,13,33,97,32.22,Beverages,1.98,Medium,can,paper,reuse,31.48,0.030102347983142687,38.91,0.025056376847907794,45.50000000000001,45.55515872483106
Cassava Biopolymer,79,29,95,65,8.69,Cosmetics,1.25,High,bottle,paper,recycle,19.24,0.10319917440660475,49.95,0.01962708537782139,47,47.122826259784425
Mushroom Packaging,65,4,81,41,20.36,Electronics,1.92,Low,bottle,paper,compost,19.53,0.04681647940074907,35.9,0.02710027100271003,42.7,42.77391675040346
Cornstarch Polymer,67,15,42,62,30.34,Stationery,1.72,High,bottle,paper,recycle,22.62,0.03190810465858328,44.01,0.022217285047767165,36.4,36.45412538970635
Palm Leaf Material,71,10,58,89,22.8,Beverages,1.45,Low,bottle,paper,recycle,24.89,0.04201680672268907,41.46,0.023551577955723033,47.7,47.76556838467842
Palm Leaf Material,43,16,67,92,25.47,Baby Products,0.52,Medium,pouch,glass,recycle,18.87,0.037778617302606725,27.4,0.035211267605633804,39.900000000000006,39.972989884908245
Eco-Foam Starch,65,21,47,84,13.57,Healthcare,0.35,High,can,glass,compost,25.55,0.06863417982155114,37.24,0.02615062761506276,39.400000000000006,39.494784807436616
Coconut Coir,82,21,82,75,7.79,Fragile Goods,2.26,Low,box,paper,reuse,18.9,0.11376564277588169,43.27,0.022588660492432796,49.7,49.836354303268315
Cassava Biopolymer,71,28,89,61,16.55,Cosmetics,1.82,High,pouch,metal,recycle,19.95,0.05698005698005698,51.93,0.01889287738522577,42.900000000000006,42.97587293436529
Wheat Straw Fiber,90,11,100,95,25.83,Beverages,1.06,Medium,bottle,glass,recycle,17.59,0.03727171077152441,42.43,0.023025558369790467,62.7,62.76029726914132
Paper Pulp Mold,40,16,98,49,10.82,Stationery,2.92,High,bottle,glass,compost,23.84,0.08460236886632826,35.81,0.027166530834012496,36.60000000000001,36.711768899700346
Jute Fiber,56,26,31,99,5.29,Stationery,0.31,Low,pouch,paper,recycle,13.09,0.1589825119236884,32.77,0.029612081729345572,35,35.188594593653036
Recycled PET Blend,75,18,94,94,23.84,Food,2.62,Low,box,metal,reuse,21.14,0.040257648953301126,40.36,0.024177949709864605,54.699999999999996,54.76443559866316
Recycled HDPE,50,10,93,76,10.79,Baby Products,2.08,Low,can,paper,recycle,22.96,0.08481764206955048,26.19,0.036778227289444645,45.800000000000004,45.921595869359
Recycled PET Blend,61,30,41,92,8.54,Stationery,0.76,Low,can,metal,reuse,25.13,0.10482180293501049,41.18,0.02370791844476055,35.900000000000006,36.02852972137978
Cassava Biopolymer,55,21,52,89,14.95,Healthcare,2.4,High,box,metal,recycle,22.73,0.06269592476489029,38.31,0.025438819638768758,38.400000000000006,38.488134744403666
Bamboo Fiber,46,18,59,91,28.03,Food,1.19,Medium,can,plastic,recycle,15.4,0.034447123665173954,28.65,0.03372681281618887,38.4,38.468173936481364
Jute Fiber,56,5,90,93,30.03,Home Decor,2.42,Medium,bottle,glass,recycle,22.89,0.032226877215597804,24.11,0.039824771007566706,51.9,51.972051648223164
PLA Bioplastic,46,11,55,42,15.36,Stationery,0.51,High,bottle,paper,reuse,23.7,0.06112469437652812,42.17,0.02316423442205235,29.899999999999995,29.984288928798573
Recycled PET Blend,61,22,39,48,28.49,Electronics,1.73,Low,bottle,glass,recycle,23.25,0.0339097999321804,45.71,0.021408691928923144,29.1,29.155318491861102
Cornstarch Polymer,53,13,88,87,31.7,Beverages,0.97,Low,bottle,glass,recycle,18.8,0.030581039755351678,36.58,0.02660989888238425,47.00000000000001,47.057190938637746
Recycled Cardboard,80,16,97,41,22.82,Stationery,0.98,Medium,box,metal,recycle,19.24,0.041981528127623846,50.62,0.019372336303758234,46.80000000000001,46.86135386443139
Hemp Fiber,71,29,40,90,11.6,Electronics,0.37,Low,can,glass,reuse,24.98,0.07936507936507936,43.47,0.0224870699347875,38.599999999999994,38.70185214929987
Sugarcane Bagasse,70,5,61,58,9.21,Stationery,2.97,High,can,plastic,recycle,20.01,0.0979431929480901,39.14,0.02491280518186348,43.300000000000004,43.422855998129954
Hemp Fiber,61,29,53,58,17.13,Beverages,2.12,Medium,pouch,paper,compost,15.23,0.05515719801434087,45.26,0.021616947686986597,31.8,31.87677414570133
Algae Bioplastic,73,24,36,61,14.72,Clothing,2.69,Medium,box,glass,reuse,17.95,0.06361323155216285,48.57,0.020173492031470647,34.099999999999994,34.18378672358362
Eco-Foam Starch,50,19,74,42,13.29,Toys,2.08,Medium,can,paper,compost,27.46,0.06997900629811057,41.28,0.023651844843897825,32.5,32.59363085114201
Jute Fiber,94,12,89,99,30.35,Toys,0.63,High,can,glass,recycle,13.28,0.03189792663476874,38.47,0.02533569799847986,62.199999999999996,62.257233624633244
Biodegradable Foam,95,20,91,97,9.21,Healthcare,2.3,Low,pouch,paper,reuse,26.5,0.0979431929480901,46.03,0.0212630236019562,60.10000000000001,60.21920621655005
Algae Bioplastic,65,20,80,81,15.72,Home Decor,1.24,Low,bottle,paper,reuse,20.12,0.059808612440191394,39.08,0.0249500998003992,45.7,45.784758712240595
Bamboo Fiber,94,29,97,44,32.82,Electronics,0.77,High,can,paper,recycle,13.37,0.02956830277942046,61.71,0.015946420028703556,47.7,47.745514722808124
Paper Pulp Mold,60,20,79,94,28.15,Beverages,1.22,Low,bottle,glass,compost,23.96,0.03430531732418525,33.38,0.029086678301337984,46.599999999999994,46.66339199562552
Algae Bioplastic,53,20,100,88,5.81,Food,1.36,High,pouch,plastic,reuse,16.44,0.14684287812041116,38.66,0.02521432173474534,47.5,47.67205719985515
PLA Bioplastic,51,11,78,83,34.45,Beverages,1.2,Low,can,paper,reuse,20.47,0.028208744710860365,35.28,0.027563395810363836,44.2,44.25577214052122
Mushroom Packaging,80,22,96,90,30.53,Industrial Parts,1.18,Medium,bottle,metal,reuse,10.81,0.03171582619727244,47.95,0.020429009193054137,54.6,54.652144835390324
Coconut Coir,79,22,91,79,14.19,Food,0.54,High,box,metal,reuse,26.73,0.06583278472679395,44.4,0.022026431718061675,51.1,51.187859216444856
Biodegradable Foam,95,20,91,97,9.21,Healthcare,2.3,Low,bottle,metal,reuse,18.53,0.0979431929480901,39.83,0.024491795248591724,60.10000000000001,60.22243498819669
Biodegradable Foam,66,22,62,78,20.3,Electronics,1.96,High,bottle,plastic,recycle,16.93,0.046948356807511735,48.09,0.020370747606437156,41.2,41.26731910441395
Recycled HDPE,67,14,66,64,34.49,Cosmetics,1.31,Low,bottle,paper,reuse,20.96,0.02817695125387433,42.57,0.022951572182694516,41.89999999999999,41.95112852343656
Recycled Paper,40,25,92,64,23.02,Fragile Goods,2.11,Medium,bottle,plastic,compost,24.43,0.041631973355537054,36.76,0.02648305084745763,35.7,35.768115024203
Recycled PET Blend,46,4,72,73,34.68,Healthcare,1.24,Low,box,paper,reuse,19.06,0.028026905829596414,30.92,0.03132832080200501,41.599999999999994,41.6593552266316
Cornstarch Polymer,53,13,88,87,31.7,Beverages,0.97,Low,pouch,plastic,recycle,24.27,0.030581039755351678,36.67,0.02654632333421821,47.00000000000001,47.05712736308958
Coconut Coir,79,22,91,79,14.19,Food,0.54,High,bottle,paper,recycle,19.87,0.06583278472679395,45.25,0.021621621621621623,51.1,51.187454406348415
Recycled Cardboard,85,9,89,40,24.53,Healthcare,1.19,Medium,bottle,metal,compost,20.44,0.03916960438699569,53.29,0.01841959845275373,48.599999999999994,48.657589202839745
Areca Leaf Sheath,53,9,86,83,32.11,Healthcare,1.92,Medium,can,paper,reuse,16,0.030202355783751134,35.26,0.027578599007170437,46.99999999999999,47.057780954790914
PLA Bioplastic,85,16,93,98,19.22,Healthcare,0.45,Medium,can,plastic,compost,25.28,0.04945598417408507,37.59,0.025913449080072554,58.900000000000006,58.975369433254166
Recycled HDPE,80,8,34,43,18.19,Clothing,0.81,Low,box,paper,compost,23.35,0.05211047420531526,44.2,0.022123893805309734,37,37.07423436801062
Bamboo Fiber,94,29,97,44,32.82,Electronics,0.77,High,box,glass,compost,22.75,0.02956830277942046,65.05,0.01514004542013626,47.7,47.74470834819956
Algae Bioplastic,43,5,61,69,34.58,Cosmetics,0.37,Medium,box,paper,compost,25.33,0.028105677346824058,21.92,0.04363001745200698,37.400000000000006,37.47173569479884
Recycled PET Blend,82,12,64,89,17.87,Beverages,2.25,Low,can,metal,reuse,14.75,0.05299417064122946,39.14,0.02491280518186348,51.6,51.67790697582309
Biodegradable Foam,61,10,85,71,32.36,Beverages,1.56,High,bottle,paper,recycle,20.36,0.02997601918465228,33.04,0.02937720329024677,46.5,46.5593532224749
Coconut Coir,95,10,96,100,27.99,Baby Products,2.02,Medium,can,glass,recycle,25.54,0.03449465332873405,39.87,0.02446782481037436,64.7,64.75896247813911
PLA Bioplastic,82,13,49,75,9.26,Cosmetics,2.23,Low,pouch,glass,reuse,19.82,0.09746588693957116,41.13,0.023736055067647754,45.5,45.62120194200722
Coconut Coir,46,20,98,86,32.17,Baby Products,0.88,Low,box,glass,compost,20.74,0.03014772384684956,33.74,0.028785261945883704,44.599999999999994,44.65893298579273
Wheat Straw Fiber,86,10,100,90,22.08,Stationery,2.49,High,box,plastic,reuse,20.6,0.043327556325823226,38.35,0.025412960609911054,60.8,60.86874051693573
Wheat Straw Fiber,86,10,100,90,22.08,Stationery,2.49,High,box,glass,compost,22.36,0.043327556325823226,36.72,0.026511134676564158,60.8,60.86983869100238
Cornstarch Polymer,63,9,88,68,24.89,Beverages,0.24,High,pouch,plastic,compost,10.38,0.03862495171881035,44.16,0.022143489813994686,47.4,47.4607684415328
Algae Bioplastic,81,23,50,43,7.85,Fragile Goods,0.68,Low,bottle,glass,reuse,20.6,0.11299435028248588,58.59,0.016781339150864237,36,36.12977568943335
Recycled PET Blend,62,22,69,81,5.44,Baby Products,2.32,Medium,bottle,plastic,reuse,21.98,0.15527950310559005,35.46,0.027427317608337904,41.99999999999999,42.18270682071392
Hemp Fiber,84,24,96,80,29.13,Industrial Parts,2.65,Medium,bottle,glass,compost,21.96,0.03318951211417192,53.86,0.01822821728034998,53.2,53.251417729394525
Palm Leaf Material,71,10,58,89,22.8,Beverages,1.45,Low,box,glass,compost,28,0.04201680672268907,34.58,0.028105677346824058,47.7,47.77012248406952
Jute Fiber,78,13,33,97,32.22,Beverages,1.98,Medium,bottle,paper,compost,17.08,0.030102347983142687,39.11,0.024931438544003988,45.50000000000001,45.555033786527154
Wheat Straw Fiber,74,24,56,79,19.49,Electronics,0.11,High,can,glass,compost,28.24,0.04880429477794046,45.16,0.021663778162911613,42,42.07046807294085
PLA Bioplastic,51,11,78,83,34.45,Beverages,1.2,Low,box,paper,reuse,18.19,0.028208744710860365,30.67,0.031575623618566466,44.2,44.25978436832943
Algae Bioplastic,81,23,50,43,7.85,Fragile Goods,0.68,Low,pouch,glass,recycle,13.25,0.11299435028248588,55.94,0.017562346329469618,36,36.130556696611954
Recycled Paper,52,25,33,66,7.25,Beverages,1.35,High,pouch,glass,recycle,27.53,0.12121212121212122,41,0.023809523809523808,27.9,28.045021645021645
Palm Leaf Material,75,9,90,71,6.69,Industrial Parts,0.81,Low,bottle,paper,compost,25.26,0.13003901170351104,37.04,0.026288117770767613,52,52.15632712947428
Mushroom Packaging,87,28,89,70,19.97,Stationery,1.23,Low,box,paper,recycle,20.68,0.047687172150691466,49.18,0.01992825827022718,49.5,49.567615430420915
Areca Leaf Sheath,50,5,49,49,28.07,Beverages,2.21,Medium,can,plastic,recycle,17.07,0.03439972480220158,32.83,0.02955956251847473,33.1,33.16395928732067
Cornstarch Polymer,61,13,50,68,20.86,Healthcare,0.21,High,can,metal,recycle,18.96,0.04574565416285453,33.36,0.02910360884749709,38.00000000000001,38.074849263010364
Cornstarch Polymer,51,25,64,96,25.44,Cosmetics,2.33,Low,box,paper,recycle,21.28,0.037821482602118,36.18,0.02689618074233459,39.800000000000004,39.86471766334446
Cassava Biopolymer,49,5,81,90,26.88,Toys,2.61,High,bottle,plastic,recycle,26.94,0.035868005738880916,23.3,0.0411522633744856,47.4,47.47702026911337
Mushroom Packaging,69,27,69,67,33.51,Baby Products,0.8,Low,pouch,glass,recycle,13.42,0.028977108084613158,48.35,0.020263424518743668,39.8,39.84924053260335
Biodegradable Foam,86,29,59,77,20.85,Baby Products,2.5,High,pouch,paper,compost,18.95,0.04576659038901602,56.1,0.017513134851138354,44.3,44.36327972524015
Recycled Paper,81,4,58,84,13.87,Home Decor,2.38,Low,can,paper,compost,18.68,0.06724949562878278,39.48,0.024703557312252968,51.5,51.59195305294103
Algae Bioplastic,43,14,30,86,33.97,Cosmetics,1.58,Medium,can,glass,compost,17.58,0.028595939376608523,31,0.03125,31.899999999999995,31.959845939376603
Biodegradable Foam,86,29,59,77,20.85,Baby Products,2.5,High,can,glass,reuse,16.76,0.04576659038901602,51.72,0.01896813353566009,44.3,44.36473472392467
Biodegradable Foam,69,9,79,44,13.62,Home Decor,1.16,Medium,pouch,glass,recycle,28.04,0.06839945280437756,48.4,0.020242914979757085,42.599999999999994,42.68864236778413
Palm Leaf Material,57,27,90,42,7.08,Healthcare,1.77,Low,can,glass,recycle,15.99,0.12376237623762376,49.47,0.019813750743015654,35.39999999999999,35.54357612698063
Cornstarch Polymer,87,13,83,59,24.73,Industrial Parts,1.22,Medium,pouch,metal,reuse,20.67,0.0388651379712398,47.29,0.02070822116380203,50.6,50.659573359135045
Paper Pulp Mold,60,20,79,94,28.15,Beverages,1.22,Low,pouch,paper,recycle,14.1,0.03430531732418525,32.74,0.02963841138114997,46.599999999999994,46.66394372870533
Coconut Coir,95,10,96,100,27.99,Baby Products,2.02,Medium,bottle,glass,compost,24.34,0.03449465332873405,42.48,0.02299908003679853,64.7,64.75749373336554
Wheat Straw Fiber,90,22,64,73,5.09,Home Decor,1.29,Medium,bottle,glass,compost,17.54,0.16420361247947454,51.4,0.019083969465648856,47.8,47.98328758194512
Recycled Paper,56,9,99,40,34.48,Clothing,1.55,High,bottle,metal,reuse,8.98,0.028184892897406992,39.85,0.024479804161566705,41.9,41.95266469705897
Algae Bioplastic,81,23,50,43,7.85,Fragile Goods,0.68,Low,can,paper,compost,24.87,0.11299435028248588,53.86,0.01822821728034998,36,36.13122256756284
Eco-Foam Starch,79,19,93,99,28.61,Toys,0.36,High,pouch,plastic,reuse,17.23,0.033772374197906116,40.17,0.024289531212047605,56.39999999999999,56.45806190540995
Areca Leaf Sheath,93,20,36,65,18.09,Fragile Goods,0.13,Medium,can,paper,compost,26.55,0.05238344683080147,51.16,0.019171779141104295,42.1,42.17155522597191
Recycled Paper,79,10,33,79,22.52,Baby Products,0.46,High,pouch,plastic,recycle,25.45,0.04251700680272109,32.69,0.029682398337785694,43.1,43.1721994051405
Cassava Biopolymer,69,20,73,84,5.96,Baby Products,2.53,Medium,bottle,metal,compost,19.44,0.14367816091954022,38.83,0.025106703489831787,46.099999999999994,46.26878486440937
PLA Bioplastic,79,25,53,98,13.96,Electronics,2.61,Medium,bottle,glass,reuse,21.98,0.06684491978609625,45.9,0.021321961620469083,46.4,46.48816688140657
Recycled Paper,48,25,89,56,30.39,Industrial Parts,0.73,High,can,metal,recycle,20.47,0.03185727938834024,41.84,0.023342670401493928,35.900000000000006,35.955199949789844
Wheat Straw Fiber,80,23,100,82,11.33,Cosmetics,0.76,Medium,pouch,paper,reuse,12.99,0.08110300081103,45.39,0.02155636990730761,53.50000000000001,53.60265937071834
Paper Pulp Mold,64,12,65,53,5.48,Baby Products,2.88,Low,can,glass,recycle,27.12,0.15432098765432098,37.88,0.025720164609053495,39.2,39.38004115226338
Biodegradable Foam,47,20,55,69,7.6,Toys,0.64,High,box,paper,recycle,18.72,0.11627906976744186,37.14,0.026219192448872573,32.900000000000006,33.04249826221632
Eco-Foam Starch,86,29,38,80,31.08,Cosmetics,0.54,Low,can,plastic,compost,20.12,0.03117206982543641,51.76,0.018953752843062926,40.7,40.7501258226685
PLA Bioplastic,78,25,54,77,25.27,Baby Products,2.96,Low,bottle,paper,compost,20.19,0.03806623524933384,45.21,0.02164033758926639,42.1,42.1597065728386
Bamboo Fiber,64,4,69,81,34.12,Beverages,2.51,Medium,pouch,metal,recycle,18.87,0.028473804100227793,37.41,0.02603488674824265,48,48.05450869084847
Recycled PET Blend,62,22,69,81,5.44,Baby Products,2.32,Medium,pouch,metal,compost,23.2,0.15527950310559005,41.73,0.023402761525860055,41.99999999999999,42.17868226463144
Coconut Coir,95,10,96,100,27.99,Baby Products,2.02,Medium,can,metal,compost,19.51,0.03449465332873405,39.48,0.024703557312252968,64.7,64.75919821064099
Paper Pulp Mold,49,20,94,76,22.51,Healthcare,0.8,Low,bottle,glass,reuse,17.44,0.042535091450446615,38.24,0.0254841997961264,42.7,42.768019291246574
